,Unnamed: 0,날짜,외국인순매수,전월대비 등락률,label_category,dummy_down,dummy_up,updown_label
155,155,2017 12,-17500,-0.0035859449649677,1.0,0,1,0
156,156,2018 01,26209,0.0401095733295049,1.0,0,1,1
157,157,2018 02,-15569,-0.0541991130322615,1.0,0,1,0
158,158,2018 03,-13285,0.0076173247545101,1.0,0,1,1
159,159,2018 04,-2820,0.0284276559805841,1.0,0,1,1
160,160,2018 05,-10748,-0.0367220369686642,1.0,0,1,0
161,161,2018 06,-15799,-0.0399833787572739,1.0,0,1,0
162,162,2018 07,3722,-0.0132709154699266,1.0,0,1,0
163,163,2018 08,16478,0.0120334397538235,1.0,0,1,1
164,164,2018 09,-3589,0.0086918767071283,1.0,0,1,1
165,165,2018 10,-39888,-0.1337476549186404,1.0,0,1,0
166,166,2018 11,3536,0.0330938064210373,1.0,0,1,1
167,167,2018 12,-593,-0.0266207879876196,1.0,0,1,0
168,168,2019 01,32169,0.0802581308836018,1.0,0,1,1
169,169,2019 02,1350,-0.0042679347044966,1.0,0,1,0
170,170,2019 03,3005,-0.0249471727731108,1.0,0,1,0
171,171,2019 04,23820,0.0293927454077149,0.0,1,0,1
172,172,2019 05,-17476,-0.0734483688893246,1.0,0,1,0
173,173,2019 06,7083,0.0435315600312664,1.0,0,1,1
174,174,2019 07,20336,-0.0497836604018324,1.0,0,1,0
175,175,2019 08,-16919,-0.0280358639681343,1.0,0,1,0
176,176,2019 09,-8616,0.0484096412089823,1.0,0,1,1
177,177,2019 10,-5571,0.0099027804256274,1.0,0,1,1
178,178,2019 11,-23179,0.002150239268314,1.0,0,1,1
179,179,2019 12,6002,0.0525440923149886,1.0,0,1,1
180,180,2020 01,3199,-0.0357924141957879,1.0,0,1,0
181,181,2020 02,-2507,-0.0622932404243809,1.0,0,1,0
182,182,2020 03,-31787,-0.1169445518518532,0.0,1,0,0
183,183,2020 04,-28972,0.1099485035874816,0.0,1,0,1
184,184,2020 05,-29413,0.0421244606194198,0.0,1,0,1
185,185,2020 06,-11992,0.0387909457460125,0.0,1,0,1
186,186,2020 07,-2613,0.0668965645018597,0.0,1,0,1
187,187,2020 08,-11994,0.0341428047348324,0.0,1,0,1
188,188,2020 09,-8628,0.0007394002849708,0.0,1,0,1
189,189,2020 10,-1643,-0.0260922951845913,0.0,1,0,0
190,190,2020 11,29375,0.1429945965247959,0.0,1,0,1
191,191,2020 12,-3165,0.1088741242922523,0.0,1,0,1
192,192,2021 01,1343,0.0357546768478095,0.0,1,0,1
193,193,2021 02,-7847,0.0123445559004855,0.0,1,0,1
194,194,2021 03,-14133,0.016087214022348,0.0,1,0,1
195,195,2021 04,6872,0.0282353247031638,1.0,0,1,1
196,196,2021 05,-17386,0.0178088646064511,1.0,0,1,1
197,197,2021 06,1814,0.0289520375126416,1.0,0,1,1
198,198,2021 07,-30272,-0.0286226947225328,1.0,0,1,0
199,199,2021 08,-21081,-0.000952449712401,1.0,0,1,0
200,200,2021 09,5979,-0.0407749112689738,1.0,0,1,0
201,201,2021 10,-16287,-0.0319797624274585,1.0,0,1,0
202,202,2021 11,11342,-0.0443231599852234,1.0,0,1,0
203,203,2021 12,15250,0.0488338864960784,1.0,0,1,1
204,204,2022 01,-389,-0.1055563362924994,1.0,0,1,0
205,205,2022 02,-6207,0.0134567282311983,1.0,0,1,1
206,206,2022 03,-23373,0.0216621241206345,1.0,0,1,1
207,207,2022 04,-19037,-0.0227004877341214,1.0,0,1,0
