,날짜,종가,등락률,외인순매수,기관순매수,개인순매수
0,2022-04-25,66300.0,-1.04,-2941618,-101900,293513
1,2022-04-22,67000.0,-1.03,-528882,-183096,209460
2,2022-04-21,67700.0,0.45,-6754,135745,-79887
3,2022-04-20,67400.0,0.15,-2097403,-85891,211059
4,2022-04-19,67300.0,0.9,-1082110,100366,11591
5,2022-04-18,66700.0,0.15,-1396426,-6216,89393
6,2022-04-15,66600.0,-1.33,-2481876,-241856,435884
7,2022-04-14,67500.0,-1.75,-2564413,-134374,310909
8,2022-04-13,68700.0,2.54,125548,84182,-82730
9,2022-04-12,67000.0,-1.33,-2912238,-96839,269191
10,2022-04-11,67900.0,0.15,-1509532,-31235,112148
11,2022-04-08,67800.0,-0.29,-4277092,-17703,349742
12,2022-04-07,68000.0,-0.73,-4882230,-167255,558964
13,2022-04-06,68500.0,-1.01,-5415763,-182182,535513
14,2022-04-05,69200.0,-0.14,226499,-84474,102342
15,2022-04-04,69300.0,0.29,-1131403,-35011,126387
16,2022-04-01,69100.0,-0.72,-2857233,-294467,450369
17,2022-03-31,69600.0,-0.43,-4795242,119,220107
18,2022-03-30,69900.0,-0.43,-2094132,-11550,131766
19,2022-03-29,70200.0,0.72,-2664226,66459,-17613
20,2022-03-28,69700.0,-0.14,-4118982,-5128,216561
21,2022-03-25,69800.0,0.0,-3942324,-67313,346398
22,2022-03-24,69800.0,-0.99,13796878,-1422741,466387
23,2022-03-23,70500.0,0.28,-541336,26784,10744
24,2022-03-22,70300.0,0.57,82660,6685,-5586
25,2022-03-21,69900.0,-1.13,-2428261,-138108,314054
26,2022-03-18,70700.0,-0.7,147165,-72939,152458
27,2022-03-17,71200.0,1.14,100505,96494,-75912
28,2022-03-16,70400.0,1.29,-1103242,80773,8560
29,2022-03-15,69500.0,-1.0,-1928704,-49730,205518
30,2022-03-14,70200.0,0.29,915719,-81824,41854
31,2022-03-11,70000.0,-1.69,-4009164,-205270,455952
32,2022-03-10,71200.0,2.45,-2043122,185444,-601
33,2022-03-08,69500.0,-0.86,-2787618,-118299,311722
34,2022-03-07,70100.0,-1.96,-4652194,-385173,627723
35,2022-03-04,71500.0,-1.92,-3283952,-185600,427956
36,2022-03-03,72900.0,1.67,309721,97839,-147191
37,2022-03-02,71700.0,-0.55,-807319,-77828,131719
38,2022-02-28,72100.0,0.28,-2427741,-102212,242401
39,2022-02-25,71900.0,0.56,-2085756,34269,92420
40,2022-02-24,71500.0,-2.05,-2384687,-187613,345734
41,2022-02-23,73000.0,-0.54,-82556,-55856,134035
42,2022-02-22,73400.0,-1.08,197679,-157262,116220
43,2022-02-21,74200.0,-0.13,-102263,-91242,80938
44,2022-02-18,74300.0,-0.93,-848948,-10774,70624
45,2022-02-17,75000.0,0.27,2004636,79856,-225728
46,2022-02-16,74800.0,1.49,504460,31706,-36673
47,2022-02-15,73700.0,0.0,-225500,31952,-31446
48,2022-02-14,73700.0,-1.6,-1060480,60523,68893
49,2022-02-11,74900.0,-0.66,1809269,-111537,-19064
50,2022-02-10,75400.0,0.94,2643810,-56889,-165535
51,2022-02-09,74700.0,1.63,1797382,69757,-174158
52,2022-02-08,73500.0,0.68,1070790,6858,-75113
53,2022-02-07,73000.0,-1.35,422116,-283483,252414
54,2022-02-04,74000.0,0.95,37393,-30493,-29951
55,2022-02-03,73300.0,0.0,-1581351,14237,108225
56,2022-01-28,73300.0,2.81,-1684393,66130,36771
57,2022-01-27,71300.0,-2.73,-1205985,-261331,372223
58,2022-01-26,73300.0,-0.95,-654848,-5228,52254
59,2022-01-25,74000.0,-1.46,-1348072,-12576,122260
60,2022-01-24,75100.0,-0.66,-1200093,228636,-130709
61,2022-01-21,75600.0,-1.18,-548208,-153408,215162
62,2022-01-20,76500.0,0.26,-597684,29476,14947
63,2022-01-19,76300.0,-0.91,369367,-26280,32156
64,2022-01-18,77000.0,-0.65,63939,-38444,49716
65,2022-01-17,77500.0,0.26,407434,-54424,-6737
66,2022-01-14,77300.0,-0.77,1477014,-189985,108537
67,2022-01-13,77900.0,-1.27,159822,-127152,126482
68,2022-01-12,78900.0,0.0,-440868,101839,-65788
69,2022-01-11,78900.0,1.15,3223572,-36364,-242142
70,2022-01-10,78000.0,-0.38,2071243,-94246,-17957
71,2022-01-07,78300.0,1.82,4808329,-165044,-171572
72,2022-01-06,76900.0,-0.65,2357249,-171751,-3255
73,2022-01-05,77400.0,-1.65,847225,-598004,649420
74,2022-01-04,78700.0,0.13,498145,-206327,91959
75,2022-01-03,78600.0,0.38,3072096,-329792,184943
76,2021-12-30,78300.0,-0.63,815444,-235547,186808
77,2021-12-29,78800.0,-1.87,1208325,-482566,455209
78,2021-12-28,80300.0,0.12,506120,534372,-591587
79,2021-12-27,80200.0,-0.37,-982843,130184,-187222
80,2021-12-24,80500.0,0.75,-137957,303731,-341771
81,2021-12-23,79900.0,0.63,389079,164568,-288364
82,2021-12-22,79400.0,1.66,4714453,7026,-352756
83,2021-12-21,78100.0,1.3,-713675,230535,-360059
84,2021-12-20,77100.0,-1.15,15853,-120113,122171
85,2021-12-17,78000.0,0.26,2234217,-70585,-57140
86,2021-12-16,77800.0,0.26,-105777,-20500,-34757
87,2021-12-15,77600.0,0.78,1095947,-50381,-86438
88,2021-12-14,77000.0,0.26,1005909,-113975,15085
89,2021-12-13,76800.0,-0.13,-151301,14726,-15172
90,2021-12-10,76900.0,-1.66,-728679,-82575,138642
91,2021-12-09,78200.0,1.03,2768853,-38347,-130495
92,2021-12-08,77400.0,0.0,703379,201540,-197040
93,2021-12-07,77400.0,1.44,4216958,-41090,-231909
94,2021-12-06,76300.0,0.93,2508191,44416,-232988
95,2021-12-03,75600.0,-0.26,-630400,-11132,8659
96,2021-12-02,75800.0,1.88,6327924,-11812,-497253
97,2021-12-01,74400.0,4.35,5498391,30073,-458860
98,2021-11-30,71300.0,-1.38,1600552,-204868,129447
99,2021-11-29,72300.0,0.0,-494165,218060,-172760
100,2021-11-26,72300.0,-1.9,-1157622,-78399,132515
101,2021-11-25,73700.0,-1.47,-353300,-13665,51437
102,2021-11-24,74800.0,-0.66,1484318,-170104,52432
103,2021-11-23,75300.0,0.53,4884832,-212058,-164271
104,2021-11-22,74900.0,5.2,5716921,225586,-645564
105,2021-11-19,71200.0,1.42,130670,30735,-53086
106,2021-11-18,70200.0,-0.71,-965237,-40693,92570
107,2021-11-17,70700.0,-0.84,1262853,-200036,87543
108,2021-11-16,71300.0,-0.14,1034389,-14286,-54134
109,2021-11-15,71400.0,1.13,374307,164747,-227381
110,2021-11-12,70600.0,1.0,793228,144511,-170181
111,2021-11-11,69900.0,-0.43,-2191660,-8139,158155
112,2021-11-10,70200.0,-0.43,1183001,-50949,-51178
113,2021-11-09,70500.0,-0.14,-687939,84138,-32143
114,2021-11-08,70600.0,0.57,-829363,-6289,49785
115,2021-11-05,70200.0,-0.57,-1270469,-63998,146816
116,2021-11-04,70600.0,0.28,-661108,138667,-124471
117,2021-11-03,70400.0,-1.54,-1101459,-197029,264495
118,2021-11-02,71500.0,2.29,1976354,259781,-404469
119,2021-11-01,69900.0,0.14,-2014811,210971,-96204
120,2021-10-29,69800.0,-1.27,-2312745,-166611,284227
121,2021-10-28,70700.0,0.86,-2347485,90971,61961
122,2021-10-27,70100.0,-1.41,-2283235,-70692,216393
123,2021-10-26,71100.0,1.28,-736663,128370,-88534
124,2021-10-25,70200.0,-0.28,-1946996,69430,40506
125,2021-10-22,70400.0,0.28,-504062,53636,-45367
126,2021-10-21,70200.0,-0.14,-274646,-13879,14316
127,2021-10-20,70300.0,-0.42,440161,-58679,39281
128,2021-10-19,70600.0,0.57,-726190,64316,-35706
129,2021-10-18,70200.0,0.14,1071364,-147373,53425
130,2021-10-15,70100.0,1.01,-1622404,32224,57545
131,2021-10-14,69400.0,0.87,-3834973,117629,139084
132,2021-10-13,68800.0,-0.29,-4878645,188320,153511
133,2021-10-12,69000.0,-3.5,-10013729,-98087,842399
134,2021-10-08,71500.0,-0.14,293100,-210307,187591
135,2021-10-07,71600.0,0.42,-2349106,99893,90663
136,2021-10-06,71300.0,-1.25,-899088,-25003,98910
137,2021-10-05,72200.0,-1.37,-1581184,90194,127729
138,2021-10-01,73200.0,-1.21,-1020886,-160318,215103
139,2021-09-30,74100.0,0.0,-94613,-85078,88840
140,2021-09-29,74100.0,-2.88,-7669317,-186442,591291
141,2021-09-28,76300.0,-1.8,-938037,-263854,304149
142,2021-09-27,77700.0,0.52,1509147,-4307,-95211
143,2021-09-24,77300.0,-0.13,-456972,-58548,-7183
144,2021-09-23,77400.0,0.26,3023706,-19787,-160632
145,2021-09-17,77200.0,1.45,3059602,-145497,-109672
146,2021-09-16,76100.0,-1.17,462273,-169972,131008
147,2021-09-15,77000.0,0.52,1782940,-56756,-90039
148,2021-09-14,76600.0,0.39,2983106,125102,-369720
149,2021-09-13,76300.0,1.33,1339317,80583,-189821
150,2021-09-10,75300.0,0.0,-2305558,75542,22812
151,2021-09-09,75300.0,-1.31,757228,-258277,155974
152,2021-09-08,76300.0,0.26,729456,-18962,-69194
153,2021-09-07,76100.0,-1.55,-2445844,-108278,290362
154,2021-09-06,77300.0,0.91,1631431,3018,-103167
155,2021-09-03,76600.0,0.79,2192334,-89442,-106787
156,2021-09-02,76000.0,-1.04,422209,-155376,93363
157,2021-09-01,76800.0,0.13,3167596,-13635,-51702
158,2021-08-31,76700.0,2.82,5313815,-153080,-214936
159,2021-08-30,74600.0,0.4,-1282503,24586,54715
160,2021-08-27,74300.0,-0.4,-2830816,173118,1511
161,2021-08-26,74600.0,-1.45,-1636281,-55567,142575
162,2021-08-25,75700.0,0.13,472461,-76990,82373
163,2021-08-24,75600.0,3.14,-119578,71120,-64227
164,2021-08-23,73300.0,0.83,-3290005,190169,81601
165,2021-08-20,72700.0,-0.55,-3407027,19861,201003
166,2021-08-19,73100.0,-1.08,-2519654,-30692,202692
167,2021-08-18,73900.0,-0.4,-9641056,121181,576653
168,2021-08-17,74200.0,-0.27,-6145906,-33604,488126
169,2021-08-13,74400.0,-3.38,-31636407,-125391,2397209
170,2021-08-12,77000.0,-1.91,-22108863,44651,1632147
171,2021-08-11,78500.0,-2.12,-13749965,-118374,1148021
172,2021-08-10,80200.0,-1.6,-5207680,-80753,451344
173,2021-08-09,81500.0,0.0,-653399,-102866,194463
174,2021-08-06,81500.0,-0.73,-25555,-205,33639
175,2021-08-05,82100.0,-0.97,-1450842,140021,-77662
176,2021-08-04,82900.0,1.84,6377492,294997,-818419
177,2021-08-03,81400.0,2.65,6975107,130630,-792574
178,2021-08-02,79300.0,1.02,-1162550,205357,-109204
179,2021-07-30,78500.0,-0.63,-1042571,-120290,249102
180,2021-07-29,79000.0,-0.25,-2045579,64173,140307
181,2021-07-28,79200.0,0.89,-2579092,73499,101244
182,2021-07-27,78500.0,-0.38,-1819544,10144,154003
183,2021-07-26,78800.0,-0.63,-1859398,-54571,153889
184,2021-07-23,79300.0,-0.5,-960184,56108,5827
185,2021-07-22,79700.0,1.53,-420768,232516,-198030
186,2021-07-21,78500.0,-0.63,-2969066,-48643,234467
187,2021-07-20,79000.0,0.0,-1574645,1110,154132
188,2021-07-19,79000.0,-1.0,-3580156,-157752,352480
189,2021-07-16,79800.0,-0.99,-100075,-143839,163703
190,2021-07-15,80600.0,1.38,2578998,60882,-269358
191,2021-07-14,79500.0,-0.38,-946477,-92544,210219
192,2021-07-13,79800.0,0.13,26167,43830,-29788
193,2021-07-12,79700.0,0.38,-528006,-29877,70081
194,2021-07-09,79400.0,-0.63,-5613962,-147776,542431
195,2021-07-08,79900.0,-1.11,-1307826,-180492,312817
196,2021-07-07,80800.0,-0.49,-307916,-205195,232305
197,2021-07-06,81200.0,1.0,2944697,68381,-171871
198,2021-07-05,80400.0,0.5,2700431,32399,-7834
199,2021-07-02,80000.0,-0.12,-2595173,-31814,216265
200,2021-07-01,80100.0,-0.74,-1660366,-242201,371855
201,2021-06-30,80700.0,-0.37,1377467,-55368,90417
202,2021-06-29,81000.0,-1.1,673501,-155160,173869
203,2021-06-28,81900.0,0.37,-2005739,-89171,-66733
204,2021-06-25,81600.0,0.49,-2327337,200221,-138581
205,2021-06-24,81200.0,1.37,555001,154521,-150691
206,2021-06-23,80100.0,0.13,-1214365,-68079,91978
207,2021-06-22,80000.0,0.13,-2408486,-53984,86389
208,2021-06-21,79900.0,-0.75,-4016077,-261525,607836
209,2021-06-18,80500.0,-0.49,-5614430,43437,397706
210,2021-06-17,80900.0,-1.1,-1302414,-173861,348151
211,2021-06-16,81800.0,1.11,2812053,-7686,-229295
212,2021-06-15,80900.0,0.5,294212,-69391,32576
213,2021-06-14,80500.0,-0.62,-1044022,-185793,263179
214,2021-06-11,81000.0,0.0,-3036386,-38036,247790
215,2021-06-10,81000.0,-0.12,2548127,-358404,158726
216,2021-06-09,81100.0,-0.98,1081726,-232602,178506
217,2021-06-08,81900.0,0.0,-1092997,89564,-5422
218,2021-06-07,81900.0,-0.36,-1540937,-5287,119781
219,2021-06-04,82200.0,-0.72,1117356,-206172,126424
220,2021-06-03,82800.0,2.48,5793452,374461,-809193
221,2021-06-02,80800.0,0.25,2388075,-75534,-55565
222,2021-06-01,80600.0,0.12,-368018,132554,-137820
223,2021-05-31,80500.0,0.5,3086470,-246851,-11776
224,2021-05-28,80100.0,0.63,-178501,157493,-134825
225,2021-05-27,79600.0,-0.25,-2105910,2387,164658
226,2021-05-26,79800.0,-0.13,52084,19407,38730
227,2021-05-25,79900.0,0.25,-1732817,213864,-149842
228,2021-05-24,79700.0,-0.5,-1743409,-50429,177228
229,2021-05-21,80100.0,0.75,688348,57606,-87614
230,2021-05-20,79500.0,-0.13,-1563171,-33938,160873
231,2021-05-18,79600.0,0.0,-5509757,222588,213746
232,2021-05-17,79600.0,-0.62,-3613909,-12944,304390
233,2021-05-14,80100.0,2.04,510000,-17959,28795
234,2021-05-13,78500.0,-1.88,-10340372,-36584,795581
235,2021-05-12,80000.0,-1.48,-14288832,-159971,1317501
236,2021-05-11,81200.0,-2.4,-9805992,-494268,1268960
237,2021-05-10,83200.0,1.59,765405,202099,-281606
238,2021-05-07,81900.0,-0.49,-2121854,2905,178271
239,2021-05-06,82300.0,-0.36,-3202640,-9405,216443
240,2021-05-04,82600.0,1.1,1133,37716,-83695
241,2021-05-03,81700.0,0.25,-2443039,-34736,135215
242,2021-04-30,81500.0,-0.24,-1247401,-32890,263758
243,2021-04-29,81700.0,-0.49,-4893503,-25196,341641
244,2021-04-28,82100.0,-0.97,-447550,-163218,291358
245,2021-04-27,82900.0,-0.72,-249615,-62928,219599
246,2021-04-26,83500.0,0.85,2088516,-83162,-92076
247,2021-04-23,82800.0,0.49,-390953,-93660,117004
248,2021-04-22,82400.0,-0.24,-2504164,-140810,346665
249,2021-04-21,82600.0,-1.55,-3784099,-391651,732934
250,2021-04-20,83900.0,0.72,1206118,-45291,-59143
251,2021-04-19,83300.0,-0.72,-3113668,-120387,361251
252,2021-04-16,83900.0,-0.24,44189,-219492,223774
253,2021-04-15,84100.0,0.12,1393587,-121862,-2541
254,2021-04-14,84000.0,0.0,-624118,-339,36103
255,2021-04-13,84000.0,0.96,1043319,-35689,-58057
256,2021-04-12,83200.0,-0.48,-770601,-182968,249334
257,2021-04-09,83600.0,-1.3,-1904710,-264288,423148
258,2021-04-08,84700.0,-1.05,567633,-271159,365951
259,2021-04-07,85600.0,-0.47,1278130,-155063,41529
260,2021-04-06,86000.0,0.7,3718149,-213029,-57705
261,2021-04-05,85400.0,0.71,150313,-126098,95690
262,2021-04-02,84800.0,2.29,7754854,238286,-750243
263,2021-04-01,82900.0,1.84,3460519,47234,-358385
264,2021-03-31,81400.0,-0.97,-1650205,-103816,230748
265,2021-03-30,82200.0,0.74,597439,29060,-205121
266,2021-03-29,81600.0,0.12,-994277,-196350,166723
267,2021-03-26,81500.0,0.37,-6708295,-29825,182616
268,2021-03-25,81200.0,0.25,421480,-33632,21265
269,2021-03-24,81000.0,-0.98,-1909078,-202754,449917
270,2021-03-23,81800.0,-0.24,-862749,-96744,119878
271,2021-03-22,82000.0,0.12,-919555,-38053,122380
272,2021-03-19,81900.0,-1.21,-823945,-336861,455315
273,2021-03-18,82900.0,0.73,3443690,56184,-267357
274,2021-03-17,82300.0,-0.6,985042,-132064,80871
275,2021-03-16,82800.0,1.22,1282182,99409,-207116
276,2021-03-15,81800.0,-1.21,-2604838,-197888,390761
277,2021-03-12,82800.0,0.98,2113866,-23514,-165629
278,2021-03-11,82000.0,1.36,6106586,-220013,-266301
279,2021-03-10,80900.0,-0.61,-1663539,-109163,228454
280,2021-03-09,81400.0,-0.73,-4865726,109062,277965
281,2021-03-08,82000.0,-0.12,-1198391,-107131,217769
282,2021-03-05,82100.0,-0.36,-1481948,-221031,356528
283,2021-03-04,82400.0,-1.9,-2582617,-471819,660754
284,2021-03-03,84000.0,0.48,-2399257,103261,117174
285,2021-03-02,83600.0,1.33,3821433,215683,-511457
286,2021-02-26,82500.0,-3.28,-10791549,-274271,1142489
287,2021-02-25,85300.0,4.02,8508501,421838,-1111117
288,2021-02-24,82000.0,0.0,1249136,126153,-215146
289,2021-02-23,82000.0,-0.24,-1892243,39157,117047
290,2021-02-22,82200.0,-0.48,1164649,-60212,-26837
291,2021-02-19,82600.0,0.61,-4385008,-22323,367393
292,2021-02-18,82100.0,-1.32,-2356015,-295187,493388
293,2021-02-17,83200.0,-2.0,-1657934,-485177,618841
294,2021-02-16,84900.0,0.83,2110488,-239895,47282
295,2021-02-15,84200.0,3.19,3547142,-34603,-285425
296,2021-02-10,81600.0,-1.33,-3039531,-383661,605349
297,2021-02-09,82700.0,-0.36,-2576094,-45622,185201
298,2021-02-08,83000.0,-0.6,-1315143,87972,-51485
299,2021-02-05,83500.0,1.21,-112612,75574,-122657
300,2021-02-04,82500.0,-2.48,-3506489,-605386,890549
301,2021-02-03,84600.0,0.24,-1326740,-273962,373832
302,2021-02-02,84400.0,1.69,-64912,65565,-71199
303,2021-02-01,83000.0,1.22,-2652807,41183,132096
304,2021-01-29,82000.0,-2.03,-5072101,-5599,439598
305,2021-01-28,83700.0,-2.22,-7049117,-187640,771734
306,2021-01-27,85600.0,-1.27,-3602899,-239566,613071
307,2021-01-26,86700.0,-3.02,-7803617,-769636,1450111
308,2021-01-25,89400.0,3.0,1729708,267325,-414567
309,2021-01-22,86800.0,-1.48,-3577051,-562645,870710
310,2021-01-21,88100.0,1.03,-1878645,-60638,250286
311,2021-01-20,87200.0,0.23,-1148442,-364476,430116
312,2021-01-19,87000.0,2.35,1566635,95523,-173484
313,2021-01-18,85000.0,-3.41,-991353,42324,14829
314,2021-01-15,88000.0,-1.9,-2683267,-440769,661609
315,2021-01-14,89700.0,0.0,2922186,-523892,288414
316,2021-01-13,89700.0,-0.99,-1898330,-160689,413206
317,2021-01-12,90600.0,-0.44,-2125136,-526533,737798
318,2021-01-11,91000.0,2.48,-5439782,-1258341,1749038
319,2021-01-08,88800.0,7.12,9149617,-436089,-169881
320,2021-01-07,82900.0,0.85,-2787315,250130,-71008
321,2021-01-06,82200.0,-2.03,-6407854,-442464,1013153
322,2021-01-05,83900.0,1.08,-2751310,-203964,622727
323,2021-01-04,83000.0,2.47,306590,-326137,658902
324,2020-12-30,81000.0,3.45,-502122,97651,-96686
325,2020-12-29,78300.0,-0.51,-5035068,-481530,706839
326,2020-12-28,78700.0,1.16,-3536730,189134,18127
327,2020-12-24,77800.0,5.28,-2793595,283079,-301157
328,2020-12-23,73900.0,2.21,821175,133360,-176762
329,2020-12-22,72300.0,-0.96,-754161,-50060,100379
330,2020-12-21,73000.0,0.0,-1757908,6290,137895
331,2020-12-18,73000.0,-0.41,-1745205,-45836,135494
332,2020-12-17,73300.0,-0.68,-2857658,21581,226469
333,2020-12-16,73800.0,0.0,-3735899,53435,126407
334,2020-12-15,73800.0,0.0,-2264746,-51307,130572
335,2020-12-14,73800.0,0.54,-847219,-153874,158873
336,2020-12-11,73400.0,0.69,-2870410,1691,149382
337,2020-12-10,72900.0,-1.35,-8918865,-87619,675159
338,2020-12-09,73900.0,3.07,-801553,59967,-53037
339,2020-12-08,71700.0,-1.65,-3513094,-58606,306809
340,2020-12-07,72900.0,1.96,150873,-201836,181044
341,2020-12-04,71500.0,2.58,2420199,-56653,-112789
342,2020-12-03,69700.0,0.29,320240,-186350,143895
343,2020-12-02,69500.0,2.51,3156241,-38377,-143437
344,2020-12-01,67800.0,1.65,-831082,98941,-47671
345,2020-11-30,66700.0,-2.2,-12700199,69422,760179
346,2020-11-27,68200.0,0.29,-2542343,-98025,68032
347,2020-11-26,68000.0,2.1,1280355,-153239,39804
348,2020-11-25,66600.0,-1.62,-4395436,28680,264708
349,2020-11-24,67700.0,0.3,1947395,-205409,74137
350,2020-11-23,67500.0,4.33,4507191,42214,-260691
351,2020-11-20,64700.0,0.15,-34651,-74308,95202
352,2020-11-19,64600.0,-0.31,-591219,-62162,99964
353,2020-11-18,64800.0,-1.37,-1297242,23846,67148
354,2020-11-17,65700.0,-0.9,1491843,-119437,9981
355,2020-11-16,66300.0,4.91,5015279,-27219,-333835
356,2020-11-13,63200.0,3.61,9334893,159841,-702644
357,2020-11-12,61000.0,-0.49,3833049,-215852,-39937
358,2020-11-11,61300.0,1.83,7629092,153409,-595208
359,2020-11-10,60200.0,0.0,1549044,-132296,77939
360,2020-11-09,60200.0,0.17,2184652,61670,-185232
361,2020-11-06,60100.0,-0.33,2639875,-38413,-121710
362,2020-11-05,60300.0,3.08,6911003,122511,-530495
363,2020-11-04,58500.0,-0.51,-5600359,147455,176236
364,2020-11-03,58800.0,2.44,91359,109202,-138371
365,2020-11-02,57400.0,1.41,-2104184,-46784,68350
366,2020-10-30,56600.0,-2.58,-7874921,-153205,511251
367,2020-10-29,58100.0,-1.53,-795716,-264130,428990
368,2020-10-28,59000.0,-1.34,-1429819,-121901,205962
369,2020-10-27,59800.0,-0.99,-56327,-163045,148371
370,2020-10-26,60400.0,0.33,860464,41525,-96321
371,2020-10-23,60200.0,0.17,-114807,-3550,10136
372,2020-10-22,60100.0,-1.31,-2658294,5673,159240
373,2020-10-21,60900.0,0.0,1504986,-28442,-54237
374,2020-10-20,60900.0,1.5,4896152,101406,-386565
375,2020-10-19,60000.0,0.84,337214,53870,-62546
376,2020-10-16,59500.0,-0.83,16207,7294,24771
377,2020-10-15,60000.0,-1.48,-2275177,-14488,72397
378,2020-10-14,60900.0,0.0,1357862,-12457,-86965
379,2020-10-13,60900.0,0.83,1972744,37581,-170426
380,2020-10-12,60400.0,1.17,3133192,45699,-233884
381,2020-10-08,59700.0,-0.33,4659527,-199366,-88581
382,2020-10-07,59900.0,1.53,2773840,119881,-186764
383,2020-10-06,59000.0,0.51,2497371,-25712,-19287
384,2020-10-05,58700.0,0.86,-74710,92800,-39581
385,2020-09-29,58200.0,0.0,-1737336,17660,71466
386,2020-09-28,58200.0,0.52,-1943493,62232,19554
387,2020-09-25,57900.0,0.17,-3677135,-9183,64366
388,2020-09-24,57800.0,-1.37,-864606,-17775,88997
389,2020-09-23,58600.0,0.69,786318,-104109,105699
390,2020-09-22,58200.0,-1.69,91148,-235071,218982
391,2020-09-21,59200.0,-0.17,-938976,37216,16693
392,2020-09-18,59300.0,-0.34,-1994013,11076,85046
393,2020-09-17,59500.0,-2.46,-1709404,-129350,249943
394,2020-09-16,61000.0,0.0,3184103,-104118,-76320
395,2020-09-15,61000.0,0.99,-368875,-113557,-144228
396,2020-09-14,60400.0,2.37,1498673,89902,-159642
397,2020-09-11,59000.0,-0.34,-535505,-63916,89493
398,2020-09-10,59200.0,1.37,5669115,-86013,-239447
399,2020-09-09,58400.0,-0.51,2298753,18701,-159073
400,2020-09-08,58700.0,3.89,4487201,167397,-425232
401,2020-09-07,56500.0,1.62,-39509,-50433,50634
402,2020-09-04,55600.0,-1.42,-2132810,-139498,244978
403,2020-09-03,56400.0,3.68,3999421,14707,-267824
404,2020-09-02,54400.0,0.37,-781732,3209,58880
405,2020-09-01,54200.0,0.37,-1437952,-51892,129056
406,2020-08-31,54000.0,-2.53,-10747691,-27256,553624
407,2020-08-28,55400.0,-0.36,-2692148,23836,130097
408,2020-08-27,55600.0,-1.42,75986,-158985,160446
409,2020-08-26,56400.0,0.0,2399328,-181062,112375
410,2020-08-25,56400.0,0.53,104977,-66300,43313
411,2020-08-24,56100.0,0.36,357083,-66929,47064
412,2020-08-21,55900.0,0.9,1685131,-88684,26476
413,2020-08-20,55400.0,-4.15,-455133,-296138,315453
414,2020-08-19,57800.0,-1.03,-399689,-46587,74492
415,2020-08-18,58400.0,0.69,3039319,211964,-281976
416,2020-08-14,58000.0,-1.19,-1313987,37092,51216
417,2020-08-13,58700.0,-0.51,-1236085,13543,62174
418,2020-08-12,59000.0,1.37,113723,-2750,-17839
419,2020-08-11,58200.0,0.69,556625,54508,-119788
420,2020-08-10,57800.0,0.52,-6431,-36424,49816
421,2020-08-07,57500.0,-0.86,1653994,-194084,112725
422,2020-08-06,58000.0,1.93,723145,8800,-44114
423,2020-08-05,56900.0,-0.7,-1198905,-163913,251247
424,2020-08-04,57300.0,0.88,-1117830,-35646,88459
425,2020-08-03,56800.0,-1.9,-3374437,-91551,268190
426,2020-07-31,57900.0,-1.86,-1210742,-128493,197390
427,2020-07-30,59000.0,0.0,1813114,-61202,-27128
428,2020-07-29,59000.0,0.68,4871113,-87294,-193372
429,2020-07-28,58600.0,5.4,16523775,10484,-896527
430,2020-07-27,55600.0,2.58,7176045,86326,-478700
431,2020-07-24,54200.0,0.18,2493617,-57246,-10693
432,2020-07-23,54100.0,-1.1,-1164052,-148754,212678
433,2020-07-22,54700.0,-1.08,-194786,-50018,64224
434,2020-07-21,55300.0,2.03,5708295,84770,-378321
435,2020-07-20,54200.0,-0.37,1070738,-64169,-6454
436,2020-07-17,54400.0,1.12,1610456,19571,-87701
437,2020-07-16,53800.0,-1.65,-983347,1723,43587
438,2020-07-15,54700.0,1.67,5480566,118309,-393152
439,2020-07-14,53800.0,0.75,2212167,-86142,-37438
440,2020-07-13,53400.0,1.33,1381242,58934,-117834
441,2020-07-10,52700.0,-0.19,2344159,-189529,111481
442,2020-07-09,52800.0,-0.38,1509282,-120807,39658
443,2020-07-08,53000.0,-0.75,810622,-79930,85195
444,2020-07-07,53400.0,-2.91,-544573,-220828,263809
445,2020-07-06,55000.0,2.61,1634620,237964,-314886
446,2020-07-03,53600.0,1.32,1537492,53038,-139304
447,2020-07-02,52900.0,0.57,576995,-24789,29067
448,2020-07-01,52600.0,-0.38,4616555,22182,66229
449,2020-06-30,52800.0,0.76,1673651,66027,-154133
450,2020-06-29,52400.0,-1.69,-916511,-46403,79040
451,2020-06-26,53300.0,2.7,1327426,77270,-198796
452,2020-06-25,51900.0,-1.89,-4458337,-200057,105007
453,2020-06-24,52900.0,2.92,-1339513,67815,-235881
454,2020-06-23,51400.0,-1.15,-517586,-80685,110898
455,2020-06-22,52000.0,-1.7,-1147335,208,64630
456,2020-06-19,52900.0,1.15,1878577,-26961,-77174
457,2020-06-18,52300.0,0.19,349113,-21395,9739
458,2020-06-17,52200.0,0.19,1467817,-7584,-89087
459,2020-06-16,52100.0,4.41,-948110,161421,-54401
460,2020-06-15,49900.0,-4.59,-816100,-197383,274352
461,2020-06-12,52300.0,-3.68,-305656,-95444,135458
462,2020-06-11,54300.0,-1.99,-1801271,-362230,443963
463,2020-06-10,55400.0,-0.18,-889734,60298,-47498
464,2020-06-09,55500.0,1.09,423013,-150579,89602
465,2020-06-08,54900.0,-1.08,-1594066,-62824,160004
466,2020-06-05,55500.0,1.65,-4210,151624,-142708
467,2020-06-04,54600.0,0.18,-30107,89503,-177165
468,2020-06-03,54500.0,6.03,3558911,516151,-673613
