,날짜,환율
0,2005-01-31,1025.4100341796875
1,2005-02-28,1003.7999877929688
2,2005-03-31,1017.0
3,2005-04-29,996.6599731445312
4,2005-05-31,1007.0
5,2005-06-30,1033.800048828125
6,2005-07-29,1023.0
7,2005-08-31,1039.5
8,2005-09-30,1032.0999755859375
9,2005-10-31,1044.0999755859375
10,2005-11-30,1019.0999755859375
11,2005-12-29,999.7000122070312
12,2006-01-31,948.0800170898438
13,2006-02-28,952.760009765625
14,2006-03-31,964.0900268554688
15,2006-04-28,922.469970703125
16,2006-05-30,937.030029296875
17,2006-06-30,936.4600219726562
18,2006-07-31,941.9500122070312
19,2006-08-31,950.1500244140625
20,2006-09-29,936.3800048828125
21,2006-10-31,925.1500244140625
22,2006-11-30,919.8099975585938
23,2006-12-28,917.010009765625
24,2007-01-31,924.0399780273438
25,2007-02-28,928.5999755859375
26,2007-03-30,932.3599853515625
27,2007-04-30,930.5499877929688
28,2007-05-31,931.4099731445312
29,2007-06-29,921.5599975585938
30,2007-07-31,920.4400024414062
31,2007-08-31,937.0999755859375
32,2007-09-28,911.3900146484375
33,2007-10-31,898.6900024414062
34,2007-11-30,919.47998046875
35,2007-12-28,935.0700073242188
36,2008-01-31,941.219970703125
37,2008-02-29,937.8400268554688
38,2008-03-31,992.280029296875
39,2008-04-30,1002.4000244140625
40,2008-05-30,1029.0999755859375
41,2008-06-30,1046.0
42,2008-07-31,1010.7000122070312
43,2008-08-29,1088.4000244140625
44,2008-09-30,1204.800048828125
45,2008-10-31,1289.199951171875
46,2008-11-28,1467.9000244140625
47,2008-12-30,1252.9000244140625
48,2009-01-30,1377.0999755859375
49,2009-02-27,1530.300048828125
50,2009-03-31,1375.0999755859375
51,2009-04-30,1278.0999755859375
52,2009-05-29,1250.0999755859375
53,2009-06-30,1272.5999755859375
54,2009-07-31,1223.0999755859375
55,2009-08-31,1249.5
56,2009-09-30,1173.699951171875
57,2009-10-30,1185.5
58,2009-11-30,1160.5999755859375
59,2009-12-30,1161.5999755859375
60,2010-01-29,1158.199951171875
61,2010-02-26,1161.4000244140625
62,2010-03-31,1131.5999755859375
63,2010-04-30,1107.9000244140625
64,2010-05-31,1200.0
65,2010-06-30,1227.199951171875
66,2010-07-30,1184.0999755859375
67,2010-08-31,1193.0999755859375
68,2010-09-30,1139.199951171875
69,2010-10-29,1132.4000244140625
70,2010-11-30,1163.0
71,2010-12-30,1139.199951171875
72,2011-01-31,1117.4000244140625
73,2011-02-28,1127.0999755859375
74,2011-03-31,1098.300048828125
75,2011-04-29,1068.800048828125
76,2011-05-31,1075.300048828125
77,2011-06-30,1068.9000244140625
78,2011-07-29,1049.0
79,2011-08-31,1071.800048828125
80,2011-09-30,1177.0
81,2011-10-31,1104.0
82,2011-11-30,1140.300048828125
83,2011-12-29,1155.699951171875
84,2012-01-31,1125.699951171875
85,2012-02-29,1124.5999755859375
86,2012-03-30,1138.0
87,2012-04-30,1131.699951171875
88,2012-05-31,1179.699951171875
89,2012-06-29,1157.0999755859375
90,2012-07-31,1136.5999755859375
91,2012-08-31,1133.5999755859375
92,2012-09-28,1115.4000244140625
93,2012-10-31,1090.300048828125
94,2012-11-30,1082.0999755859375
95,2012-12-28,1071.5999755859375
96,2013-01-31,1085.4000244140625
97,2013-02-28,1083.9000244140625
98,2013-03-29,1112.0
99,2013-04-30,1103.199951171875
100,2013-05-31,1127.5999755859375
101,2013-06-28,1147.199951171875
102,2013-07-31,1113.300048828125
103,2013-08-30,1111.699951171875
104,2013-09-30,1075.800048828125
105,2013-10-31,1058.199951171875
106,2013-11-29,1060.0999755859375
107,2013-12-30,1054.0
108,2014-01-29,1076.9000244140625
109,2014-02-28,1068.699951171875
110,2014-03-31,1066.550048828125
111,2014-04-30,1029.43994140625
112,2014-05-30,1018.5399780273438
113,2014-06-30,1013.2999877929688
114,2014-07-31,1023.5999755859375
115,2014-08-29,1014.2000122070312
116,2014-09-30,1052.199951171875
117,2014-10-31,1053.800048828125
118,2014-11-28,1099.0999755859375
119,2014-12-30,1098.800048828125
120,2015-01-30,1098.800048828125
121,2015-02-27,1100.6700439453125
122,2015-03-31,1105.5
123,2015-04-30,1068.969970703125
124,2015-05-29,1107.0
125,2015-06-30,1118.219970703125
126,2015-07-31,1170.77001953125
127,2015-08-31,1177.5999755859375
128,2015-09-30,1194.1600341796875
129,2015-10-30,1139.8599853515625
130,2015-11-30,1154.8299560546875
131,2015-12-30,1169.449951171875
132,2016-01-29,1205.6300048828125
133,2016-02-29,1241.1300048828125
134,2016-03-31,1140.22998046875
135,2016-04-29,1134.0
136,2016-05-31,1198.449951171875
137,2016-06-30,1152.1500244140625
138,2016-07-29,1123.3499755859375
139,2016-08-31,1118.3800048828125
140,2016-09-30,1101.6199951171875
141,2016-10-31,1146.699951171875
142,2016-11-30,1167.8599853515625
143,2016-12-29,1210.3399658203125
144,2017-01-31,1169.2099609375
145,2017-02-28,1133.93994140625
146,2017-03-31,1117.02001953125
147,2017-04-28,1129.93994140625
148,2017-05-31,1123.9000244140625
149,2017-06-30,1146.1400146484375
150,2017-07-31,1124.050048828125
151,2017-08-31,1123.3299560546875
152,2017-09-29,1145.93994140625
153,2017-10-31,1123.449951171875
154,2017-11-30,1080.6600341796875
155,2017-12-28,1073.550048828125
156,2018-01-31,1072.5400390625
157,2018-02-28,1079.3900146484375
158,2018-03-30,1062.0
159,2018-04-30,1067.5999755859375
160,2018-05-31,1075.030029296875
161,2018-06-29,1120.5400390625
162,2018-07-31,1116.6700439453125
163,2018-08-31,1115.449951171875
