,Unnamed: 0,date,동행지수,선행지수,label
82,118,2011-11-01,100.6,99.7,1
83,119,2011-12-01,100.5,99.6,1
84,120,2012-01-01,100.2,99.6,1
85,121,2012-02-01,100.6,100.0,1
86,122,2012-03-01,100.5,100.3,1
87,123,2012-04-01,100.4,100.5,1
88,124,2012-05-01,100.5,100.2,1
89,125,2012-06-01,100.5,100.1,1
90,126,2012-07-01,100.7,99.9,1
91,127,2012-08-01,100.1,99.6,1
92,128,2012-09-01,100.1,99.3,1
93,129,2012-10-01,99.7,99.3,0
94,130,2012-11-01,100.0,99.3,1
95,131,2012-12-01,100.1,99.4,1
96,132,2013-01-01,100.0,99.3,1
97,133,2013-02-01,100.0,99.4,1
98,134,2013-03-01,99.7,99.4,0
99,135,2013-04-01,99.8,99.4,0
100,136,2013-05-01,99.8,99.4,0
101,137,2013-06-01,100.1,99.6,1
102,138,2013-07-01,100.0,99.8,1
103,139,2013-08-01,100.1,99.9,1
104,140,2013-09-01,99.9,99.8,0
105,141,2013-10-01,100.1,99.9,1
106,142,2013-11-01,100.1,99.9,1
107,143,2013-12-01,100.2,100.0,1
108,144,2014-01-01,100.4,99.9,1
109,145,2014-02-01,100.4,99.9,1
110,146,2014-03-01,100.5,99.8,1
111,147,2014-04-01,100.3,99.7,1
112,148,2014-05-01,100.1,99.5,1
113,149,2014-06-01,100.1,99.4,1
114,150,2014-07-01,100.1,99.3,1
115,151,2014-08-01,100.2,99.4,1
116,152,2014-09-01,99.9,99.6,0
117,153,2014-10-01,99.5,99.6,0
118,154,2014-11-01,99.4,99.7,0
119,155,2014-12-01,99.7,99.7,0
120,156,2015-01-01,99.7,99.9,0
121,157,2015-02-01,100.1,100.1,1
122,158,2015-03-01,99.9,100.3,0
123,159,2015-04-01,99.9,100.4,0
124,160,2015-05-01,99.4,100.6,0
125,161,2015-06-01,99.4,100.4,0
126,162,2015-07-01,99.4,100.4,0
127,163,2015-08-01,99.9,100.3,0
128,164,2015-09-01,100.5,100.5,1
129,165,2015-10-01,100.9,100.5,1
130,166,2015-11-01,100.7,100.4,1
131,167,2015-12-01,100.6,100.0,1
132,168,2016-01-01,100.2,99.7,1
133,169,2016-02-01,100.1,99.4,1
134,170,2016-03-01,100.0,99.3,1
135,171,2016-04-01,100.0,99.3,1
136,172,2016-05-01,100.3,99.3,1
137,173,2016-06-01,100.6,99.2,1
138,174,2016-07-01,100.9,99.4,1
139,175,2016-08-01,101.0,99.5,1
140,176,2016-09-01,100.8,99.7,1
141,177,2016-10-01,100.6,99.8,1
142,178,2016-11-01,100.9,99.9,1
143,179,2016-12-01,101.1,100.1,1
144,180,2017-01-01,101.6,100.3,1
145,181,2017-02-01,101.6,100.5,1
146,182,2017-03-01,101.9,100.6,1
147,183,2017-04-01,101.9,100.7,1
148,184,2017-05-01,102.1,100.7,1
149,185,2017-06-01,102.1,100.9,1
150,186,2017-07-01,102.1,100.9,1
151,187,2017-08-01,102.1,101.1,1
152,188,2017-09-01,102.3,101.0,1
153,189,2017-10-01,102.1,101.0,1
154,190,2017-11-01,102.1,100.9,1
155,191,2017-12-01,101.7,100.8,1
156,192,2018-01-01,101.7,100.8,1
157,193,2018-02-01,101.9,100.8,1
158,194,2018-03-01,101.9,100.8,1
159,195,2018-04-01,101.9,100.4,1
160,196,2018-05-01,101.8,100.4,1
161,197,2018-06-01,101.8,100.3,1
162,198,2018-07-01,101.6,100.2,1
163,199,2018-08-01,101.5,99.9,1
164,200,2018-09-01,101.1,99.7,1
165,201,2018-10-01,100.9,99.4,1
166,202,2018-11-01,100.7,99.2,1
167,203,2018-12-01,100.5,98.9,1
168,204,2019-01-01,100.7,98.8,1
169,205,2019-02-01,100.1,98.7,1
170,206,2019-03-01,100.1,98.8,1
171,207,2019-04-01,99.9,98.8,0
172,208,2019-05-01,100.2,98.6,1
173,209,2019-06-01,100.2,98.3,1
174,210,2019-07-01,100.2,98.1,1
175,211,2019-08-01,100.4,98.0,1
176,212,2019-09-01,100.4,98.1,1
177,213,2019-10-01,100.4,98.4,1
178,214,2019-11-01,100.2,98.7,1
179,215,2019-12-01,100.5,99.0,1
180,216,2020-01-01,100.8,99.0,1
181,217,2020-02-01,100.1,99.0,1
182,218,2020-03-01,99.0,98.5,0
183,219,2020-04-01,97.8,98.2,0
184,220,2020-05-01,97.0,97.9,0
185,221,2020-06-01,97.2,98.2,0
186,222,2020-07-01,97.4,98.5,0
187,223,2020-08-01,98.0,98.9,0
188,224,2020-09-01,98.3,99.2,0
189,225,2020-10-01,98.9,99.5,0
190,226,2020-11-01,99.4,100.0,0
191,227,2020-12-01,99.4,100.2,0
192,228,2021-01-01,99.2,100.5,0
193,229,2021-02-01,99.2,100.7,0
194,230,2021-03-01,99.7,100.9,0
195,231,2021-04-01,100.4,101.3,1
196,232,2021-05-01,100.5,101.6,1
197,233,2021-06-01,100.6,101.8,1
198,234,2021-07-01,100.7,101.6,1
199,235,2021-08-01,100.9,101.4,1
200,236,2021-09-01,100.8,101.1,1
201,237,2021-10-01,100.9,100.7,1
202,238,2021-11-01,101.1,100.4,1
203,239,2021-12-01,101.8,100.2,1
204,240,2022-01-01,102.4,100.1,1
205,241,2022-02-01,102.6,99.8,1
