,날짜,전월대비 등락률
0,2005-01-31,
1,2005-02-28,0.08433576939534886
2,2005-03-31,-0.04516689738313333
3,2005-04-29,-0.05631265563671062
4,2005-05-31,0.06464395365828844
5,2005-06-30,0.03911519187846996
6,2005-07-29,0.10229533870135496
7,2005-08-31,-0.025160023058786726
8,2005-09-30,0.1270896765490968
9,2005-10-31,-0.051514749192053115
10,2005-11-30,0.12030805175416194
11,2005-12-29,0.0631474730322672
12,2006-01-31,0.014832830212289616
13,2006-02-28,-0.020173871913676734
14,2006-03-31,-0.008741672462734952
15,2006-04-28,0.04422624739817216
16,2006-05-30,-0.07186579891986779
17,2006-06-30,-0.01711309675450628
18,2006-07-31,0.002061476913616935
19,2006-08-31,0.042317152007371135
20,2006-09-29,0.013801650043684846
21,2006-10-31,-0.005002140264830291
22,2006-11-30,0.049584045794055925
23,2006-12-28,0.0015709987092445501
24,2007-01-31,-0.05174768379051622
25,2007-02-28,0.04198553639575109
26,2007-03-30,0.02484236940812855
27,2007-04-30,0.06174654118018806
28,2007-05-31,0.10288284894052016
29,2007-06-29,0.02509829476480127
30,2007-07-31,0.1087807103699768
31,2007-08-31,-0.031051032028847254
32,2007-09-28,0.03909802834457501
33,2007-10-31,0.06081239898444483
34,2007-11-30,-0.07693057129743028
35,2007-12-28,-0.004653722516887461
36,2008-01-31,-0.14361163993540046
37,2008-02-29,0.05351203839037118
38,2008-03-31,-0.0044577680236144385
39,2008-04-30,0.07129148713604888
40,2008-05-30,0.014544226557667553
41,2008-06-30,-0.09562530303034297
42,2008-07-31,-0.047912734873581955
43,2008-08-29,-0.07552035868999338
44,2008-09-30,-0.017758256331428718
45,2008-10-31,-0.2313439957216467
46,2008-11-28,-0.0332328089747656
47,2008-12-30,0.04497851146291646
48,2009-01-30,0.03347356143703989
49,2009-02-27,-0.08525867370867977
50,2009-03-31,0.13473747356270574
51,2009-04-30,0.13521129297623624
52,2009-05-29,0.019374035739815935
53,2009-06-30,-0.004169431902441695
54,2009-07-31,0.12029617158463793
55,2009-08-31,0.0221923570154233
56,2009-09-30,0.051066394640976315
57,2009-10-30,-0.05525543136425031
58,2009-11-30,-0.01587279400158097
59,2009-12-30,0.08174983668112505
60,2010-01-29,-0.047742689070899826
61,2010-02-26,-0.004898870710812367
62,2010-03-31,0.06162752714789533
63,2010-04-30,0.02877401052089848
64,2010-05-31,-0.05759781759966804
65,2010-06-30,0.03475402227722772
66,2010-07-30,0.03594198610849953
67,2010-08-31,-0.009424017363899261
68,2010-09-30,0.07462921164467078
69,2010-10-29,0.005414266402295389
70,2010-11-30,0.011513876774815324
71,2010-12-30,0.07684956907217962
72,2011-01-31,0.009132121145173087
73,2011-02-28,-0.0630178491259451
74,2011-03-31,0.0863197535857878
75,2011-04-29,0.04066082414932919
76,2011-05-31,-0.02275636039437825
77,2011-06-30,-0.019500870429079317
78,2011-07-29,0.015480637523060807
79,2011-08-31,-0.11864747503555885
80,2011-09-30,-0.058751861219887645
81,2011-10-31,0.07876133866014651
82,2011-11-30,-0.032225799797349845
83,2011-12-29,-0.011783437933314225
84,2012-01-31,0.07123141823246701
85,2012-02-29,0.038071551368158145
86,2012-03-30,-0.007984219154045069
87,2012-04-30,-0.0159133126484634
88,2012-05-31,-0.0698893638281542
89,2012-06-29,0.00571749973148729
90,2012-07-31,0.015091601621011256
91,2012-08-31,0.012290184859023607
92,2012-09-28,0.047813243288493956
93,2012-10-31,-0.04215483540831038
94,2012-11-30,0.010899221353768317
95,2012-12-28,0.03318848549009092
96,2013-01-31,-0.01758098523493576
97,2013-02-28,0.03290113395716781
98,2013-03-29,-0.010658811881641389
99,2013-04-30,-0.020420104433380323
100,2013-05-31,0.018890551479742463
101,2013-06-28,-0.06882891440907307
102,2013-07-31,0.02721490912433226
103,2013-08-30,0.00644188224111455
104,2013-09-30,0.03664941969455047
105,2013-10-31,0.0165902198996815
106,2013-11-29,0.007280479951982193
107,2013-12-30,-0.01639714474609104
108,2014-01-29,-0.034897104715772634
109,2014-02-28,0.020008739835570603
110,2014-03-31,0.0028383957216481944
111,2014-04-30,-0.011996286513861913
112,2014-05-30,0.016907987712513433
113,2014-06-30,0.003634158149516433
114,2014-07-31,0.03691428855712657
115,2014-08-29,-0.003651078789828721
116,2014-09-30,-0.023422352155265003
117,2014-10-31,-0.02755318478440775
118,2014-11-28,0.008323012343988181
119,2014-12-30,-0.03291130893504781
120,2015-01-30,0.01757685336950175
121,2015-02-27,0.01874559518968098
122,2015-03-31,0.027812458007211112
123,2015-04-30,0.042204127985221156
124,2015-05-29,-0.0058151786181573776
125,2015-06-30,-0.01919807864518811
126,2015-07-31,-0.021232242806343702
127,2015-08-31,-0.04367638139480013
128,2015-09-30,0.010981291928680642
129,2015-10-30,0.03396146856773972
130,2015-11-30,-0.018477730905773315
131,2015-12-30,-0.015391754173157877
132,2016-01-29,-0.025110767052972754
133,2016-02-29,0.0024057694031434417
134,2016-03-31,0.041316634141715464
135,2016-04-29,-0.0008517429629829426
136,2016-05-31,-0.005390767930391121
137,2016-06-30,-0.006579635306791052
138,2016-07-29,0.023264885115996073
139,2016-08-31,0.009155924562810279
140,2016-09-30,0.004413525845230337
141,2016-10-31,-0.01734172202986163
142,2016-11-30,-0.012304593518776748
143,2016-12-29,0.021668976189309793
144,2017-01-31,0.020286661574530324
145,2017-02-28,0.011641600247119799
146,2017-03-31,0.03279249364769088
147,2017-04-28,0.02092830918293702
148,2017-05-31,0.06435901460809906
149,2017-06-30,0.01891903248177718
150,2017-07-31,0.0045655854806052444
