,개인,외국인,기관
2021-10-29,"12,566 ","-8,005 ","-4,759 "
2021-10-28,"3,401 ","-2,484 ","-1,145 "
2021-10-27,"6,142 ","-2,845 ","-3,491 "
2021-10-26,"-4,752 ","1,061 ","3,474 "
2021-10-25,"-3,046 ",364 ,"2,588 "
2021-10-22,-674 ,"-1,080 ","1,855 "
2021-10-21,"-1,598 ",529 ,"1,181 "
2021-10-20,"2,833 ",-689 ,"-2,114 "
2021-10-19,"-3,276 ","1,455 ","1,838 "
2021-10-18,"4,241 ",393 ,"-4,885 "
2021-10-15,"-3,003 ",863 ,"2,134 "
2021-10-14,"-1,151 ","-3,849 ","5,037 "
2021-10-13,"-5,332 ","-2,711 ","7,724 "
2021-10-12,"9,793 ","-8,206 ","-1,999 "
2021-10-08,"4,617 ",-463 ,"-4,527 "
2021-10-07,"-5,317 ","-1,071 ","6,143 "
2021-10-06,"1,718 ","-2,760 ",834 
2021-10-05,"3,530 ","-6,232 ","2,362 "
2021-10-01,"7,609 ","-3,000 ","-4,873 "
2021-09-30,"1,435 ",390 ,"-2,178 "
2021-09-29,"9,604 ","-6,598 ","-3,126 "
2021-09-28,"5,611 ",60 ,"-5,516 "
2021-09-27,"-3,416 ","3,394 ",83 
2021-09-24,"2,483 ",835 ,"-3,419 "
2021-09-23,"-3,106 ","5,709 ","-2,361 "
2021-09-17,"2,231 ",531 ,"-3,020 "
2021-09-16,"4,593 ",260 ,"-5,160 "
2021-09-15,"-1,846 ","2,940 ","-1,406 "
2021-09-14,"-12,951 ","2,939 ","7,637 "
2021-09-13,"-3,355 ","1,445 ","1,996 "
2021-09-10,"2,791 ","-5,174 ","2,383 "
2021-09-09,"12,028 ","-3,173 ","-9,315 "
2021-09-08,"4,269 ","-2,229 ","-1,831 "
2021-09-07,"4,337 ","-3,105 ","-1,203 "
2021-09-06,-966 ,623 ,457 
2021-09-03,"-4,695 ","5,845 ",-766 
2021-09-02,"9,412 ","5,495 ","-14,902 "
2021-09-01,"-1,030 ",748 ,-316 
2021-08-31,"-9,938 ","11,233 ","-1,347 "
2021-08-30,-577 ,"-2,366 ","2,526 "
2021-08-27,"-3,440 ","-3,708 ","7,321 "
2021-08-26,"4,400 ","-3,632 ",-814 
2021-08-25,-267 ,"1,634 ","3,450 "
2021-08-24,"-3,532 ","1,536 ","2,315 "
2021-08-23,"-5,764 ",-303 ,"6,096 "
2021-08-20,"2,712 ","-2,538 ",-163 
2021-08-19,"8,025 ","-2,666 ","-3,297 "
2021-08-18,"-1,288 ","-2,594 ","4,100 "
2021-08-17,"5,870 ","-4,209 ","-1,276 "
2021-08-13,"28,040 ","-26,926 ","-1,655 "
2021-08-12,"18,308 ","-18,823 ",523 
2021-08-11,"17,856 ","-16,134 ","-1,925 "
2021-08-10,"15,415 ","-6,373 ","-3,833 "
2021-08-09,"9,497 ","-2,005 ","-7,527 "
2021-08-06,"1,912 ",569 ,"-2,344 "
2021-08-05,"-2,521 ",673 ,"1,845 "
2021-08-04,"-17,766 ","9,075 ","8,893 "
2021-08-03,"-6,700 ","6,629 ",-348 
2021-08-02,"-4,877 ","-1,472 ","6,254 "
2021-07-30,"12,548 ","-7,118 ","-5,712 "
2021-07-29,-175 ,"-2,261 ","2,584 "
2021-07-28,"1,396 ","-4,211 ","3,001 "
2021-07-27,"-2,760 ",429 ,"2,237 "
2021-07-26,"7,241 ","-3,754 ","-3,382 "
2021-07-23,-882 ,"1,119 ",-146 
2021-07-22,"-8,792 ",581 ,"8,161 "
2021-07-21,"7,366 ","-4,923 ","-2,814 "
2021-07-20,370 ,"-1,807 ","1,521 "
2021-07-19,"9,359 ","-4,543 ","-4,558 "
2021-07-16,"6,936 ",-899 ,"-5,716 "
2021-07-15,"-3,398 ","1,003 ","2,075 "
2021-07-14,"6,056 ","-2,726 ","-3,159 "
2021-07-13,"-5,620 ","2,713 ","3,061 "
2021-07-12,"-2,296 ",394 ,"2,183 "
2021-07-09,"18,006 ","-13,332 ","-5,083 "
2021-07-08,"10,942 ","-4,985 ","-6,255 "
2021-07-07,"11,631 ","-3,382 ","-8,346 "
2021-07-06,"-2,929 ","2,240 ",696 
2021-07-05,"-2,633 ",8 ,"2,634 "
2021-07-02,"3,534 ","-1,212 ","-2,226 "
2021-07-01,"12,660 ","-4,056 ","-8,303 "
2021-06-30,310 ,39 ,-506 
2021-06-29,"12,320 ",708 ,"-8,929 "
2021-06-28,"3,988 ",-849 ,"-3,055 "
2021-06-25,"-8,190 ","2,451 ","5,885 "
2021-06-24,-459 ,"-1,028 ","1,349 "
2021-06-23,828 ,-98 ,-294 
2021-06-22,"-3,826 ","3,625 ",-71 
2021-06-21,"19,770 ","-8,920 ","-10,824 "
2021-06-18,"8,859 ","-7,071 ","-1,789 "
2021-06-17,"10,356 ","-3,126 ","-7,132 "
2021-06-16,"-3,259 ","2,866 ",327 
2021-06-15,"1,994 ","-1,190 ",-360 
2021-06-14,"3,515 ",-103 ,"-3,330 "
2021-06-11,"-4,713 ","1,764 ","2,667 "
2021-06-10,"3,875 ","7,177 ","-11,250 "
2021-06-09,"7,871 ","-3,295 ","-4,585 "
2021-06-08,-447 ,"-2,060 ","2,619 "
2021-06-07,613 ,"-1,833 ","1,216 "
2021-06-04,"4,698 ","1,756 ","-6,585 "
2021-06-03,"-6,836 ","2,363 ","4,482 "
2021-06-02,"3,109 ",363 ,"-3,155 "
2021-06-01,"-6,218 ",-539 ,"6,778 "
2021-05-31,"2,477 ","5,192 ","-7,741 "
2021-05-28,"-8,948 ","1,447 ","7,371 "
2021-05-27,155 ,"-2,448 ","2,354 "
2021-05-26,"-2,398 ",-187 ,"2,870 "
2021-05-25,"-9,679 ",683 ,"8,838 "
2021-05-24,"1,760 ","-2,233 ",370 
2021-05-21,594 ,"-1,351 ",568 
2021-05-20,"8,222 ","-5,115 ","-2,818 "
2021-05-18,"-6,398 ","-3,473 ","9,741 "
2021-05-17,"7,197 ","-6,000 ","-1,444 "
2021-05-14,"4,044 ","-4,190 ",393 
2021-05-13,"14,425 ","-14,298 ",24 
2021-05-12,"29,895 ","-27,005 ","-2,574 "
2021-05-11,"35,602 ","-20,222 ","-13,513 "
2021-05-10,"-11,984 ","2,357 ","9,705 "
2021-05-07,"-1,457 ","-1,950 ","3,482 "
2021-05-06,-896 ,-984 ,"2,001 "
2021-05-04,"-1,194 ",-730 ,"1,679 "
2021-05-03,"5,877 ","-4,404 ","-1,391 "
2021-04-30,"7,876 ","-5,628 ","-1,934 "
2021-04-29,348 ,-192 ,-115 
2021-04-28,"10,572 ","-5,929 ","-4,347 "
2021-04-27,"4,484 ","-1,667 ","-1,064 "
2021-04-26,"-3,385 ","3,922 ",-462 
2021-04-23,"2,268 ",-240 ,"-2,123 "
2021-04-22,"3,527 ","-1,532 ","-2,329 "
2021-04-21,"27,116 ","-14,286 ","-12,837 "
2021-04-20,"-3,902 ","3,281 ",463 
2021-04-19,"3,955 ","-3,201 ","-1,314 "
2021-04-16,"4,701 ","2,765 ","-4,674 "
2021-04-15,"2,849 ","2,632 ","-5,045 "
2021-04-14,"-3,003 ","1,050 ","1,780 "
2021-04-13,"-4,648 ","4,427 ",87 
2021-04-12,"6,878 ","-3,247 ","-3,862 "
2021-04-09,"7,190 ","-1,525 ","-5,762 "
2021-04-08,"3,641 ","1,079 ","-4,821 "
2021-04-07,-219 ,"3,242 ","-3,267 "
2021-04-06,-378 ,"5,817 ","-5,133 "
2021-04-05,"2,129 ","1,706 ","-3,812 "
2021-04-02,"-9,488 ","5,634 ","3,715 "
2021-04-01,"-4,155 ","5,748 ","-1,617 "
2021-03-31,"6,435 ","-2,938 ","-3,488 "
2021-03-30,"-6,048 ","3,467 ","2,539 "
2021-03-29,"6,592 ",496 ,"-7,031 "
2021-03-26,"-4,195 ","2,957 ","1,389 "
2021-03-25,"1,725 ",-827 ,"-1,273 "
2021-03-24,"8,963 ","-4,780 ","-4,335 "
2021-03-23,"10,170 ","-4,769 ","-5,409 "
2021-03-22,"5,831 ","-5,465 ",-339 
2021-03-19,"16,029 ","-5,806 ","-10,018 "
2021-03-18,"-6,174 ","4,823 ","1,344 "
2021-03-17,"10,483 ","-5,240 ","-5,339 "
2021-03-16,"-2,340 ",-262 ,"2,491 "
2021-03-15,"5,105 ","-2,133 ","-3,002 "
2021-03-12,"-5,997 ","4,070 ","1,833 "
2021-03-11,"-11,110 ","17,069 ","-5,917 "
2021-03-10,"4,006 ","4,803 ","-8,891 "
2021-03-09,"3,631 ","-5,305 ","2,920 "
2021-03-08,"5,253 ","-1,258 ","-3,777 "
2021-03-05,"11,931 ","-3,734 ","-8,043 "
2021-03-04,"21,992 ","-9,293 ","-12,840 "
