,개인,외국인,기관
2020-03-10,"3,114 ","-9,897 ","6,113 "
2020-03-09,"12,800 ","-13,075 ",-463 
2020-03-06,"7,915 ","-5,637 ","-2,625 "
2020-03-05,"3,213 ","-1,459 ","-2,016 "
2020-03-04,-38 ,"1,506 ","-1,706 "
2020-03-03,"7,090 ","-3,072 ","-4,474 "
2020-03-02,"4,616 ","-7,860 ","2,703 "
2020-02-28,"2,299 ","-6,337 ","3,576 "
2020-02-27,"3,465 ","-3,968 ",-19 
2020-02-26,"7,886 ","-8,735 ",237 
2020-02-25,"6,103 ","-7,688 ","1,135 "
2020-02-24,"6,084 ","-7,816 ","1,916 "
2020-02-21,"2,837 ","2,180 ","-5,350 "
2020-02-20,"1,924 ","1,117 ","-3,356 "
2020-02-19,"1,600 ","-2,203 ",-118 
2020-02-18,"7,671 ","-3,054 ","-5,281 "
2020-02-17,"1,960 ","-2,294 ",139 
2020-02-14,-11 ,937 ,"-1,086 "
2020-02-13,-39 ,"2,768 ","-3,278 "
2020-02-12,460 ,"-2,175 ","1,489 "
2020-02-11,"-2,204 ",-940 ,"3,182 "
2020-02-10,"4,355 ","-3,036 ","-1,650 "
2020-02-07,"3,916 ",252 ,"-4,660 "
2020-02-06,"-6,881 ","1,524 ","5,167 "
2020-02-05,"4,341 ","4,601 ","-9,082 "
2020-02-04,"2,026 ","4,863 ","-7,020 "
2020-02-03,"1,180 ","-3,079 ","1,698 "
2020-01-31,"2,788 ","-4,250 ","1,717 "
2020-01-30,"6,632 ","-2,788 ","-4,427 "
2020-01-29,"3,727 ","1,012 ","-4,976 "
2020-01-28,"6,672 ","-5,248 ","-1,894 "
2020-01-23,"5,813 ","-1,334 ","-4,795 "
2020-01-22,"-2,182 ",-735 ,"2,885 "
2020-01-21,"3,605 ","-2,048 ","-1,853 "
2020-01-20,-547 ,635 ,-278 
2020-01-17,"1,861 ",948 ,"-2,967 "
2020-01-16,"2,235 ",-258 ,"-2,099 "
2020-01-15,"3,156 ",-849 ,"-2,436 "
2020-01-14,"1,336 ","2,640 ","-4,282 "
2020-01-13,-491 ,"2,574 ","-2,148 "
2020-01-10,-232 ,"3,785 ","-3,635 "
2020-01-09,"1,923 ",908 ,"-2,851 "
2020-01-08,-192 ,"2,684 ","-2,400 "
2020-01-07,"-1,678 ","1,953 ",-453 
2020-01-06,"2,363 ",991 ,"-3,209 "
2020-01-03,"2,738 ","2,623 ","-5,239 "
2020-01-02,"5,305 ",-44 ,"-5,401 "
2019-12-30,"1,235 ","-3,402 ","2,042 "
2019-12-27,"1,925 ",642 ,"-2,790 "
2019-12-26,"-4,673 ",-401 ,"4,605 "
2019-12-24,"-1,081 ","-1,670 ","2,584 "
2019-12-23,"-3,219 ",-489 ,"3,545 "
2019-12-20,"-3,221 ","1,558 ","1,389 "
2019-12-19,"-1,640 ","2,491 ","-1,083 "
2019-12-18,-560 ,"3,833 ","-3,358 "
2019-12-17,"-5,292 ","5,134 ",116 
2019-12-16,"-2,149 ","-1,914 ","3,781 "
2019-12-13,"-9,892 ","5,139 ","4,797 "
2019-12-12,"-9,175 ","5,512 ","3,473 "
2019-12-11,"-1,766 ",-75 ,"1,450 "
2019-12-10,"-1,311 ",-193 ,"1,169 "
2019-12-09,-818 ,650 ,-198 
2019-12-06,"-2,201 ",430 ,"1,603 "
2019-12-05,590 ,-678 ,-247 
2019-12-04,"3,202 ","-3,953 ",508 
2019-12-03,"1,273 ","-2,692 ","1,147 "
2019-12-02,497 ,"-3,920 ","3,094 "
2019-11-29,"4,434 ","-4,499 ",-487 
2019-11-28,282 ,"-1,167 ",720 
2019-11-27,181 ,"-1,431 ",942 
2019-11-26,604 ,"-8,573 ","7,631 "
2019-11-25,"-1,408 ","-2,595 ","3,589 "
2019-11-22,583 ,"-1,860 ",912 
2019-11-21,"2,534 ","-5,706 ","2,645 "
2019-11-20,"3,606 ","-3,341 ",-981 
2019-11-19,960 ,-128 ,"-1,202 "
2019-11-18,665 ,"-1,627 ",634 
2019-11-15,"-6,561 ","-1,416 ","7,859 "
2019-11-14,-620 ,"-2,087 ","2,261 "
2019-11-13,"2,277 ",-280 ,"-2,419 "
2019-11-12,238 ,-395 ,-151 
2019-11-11,"1,405 ","-1,722 ",-9 
2019-11-08,63 ,"-1,037 ",630 
2019-11-07,642 ,"-1,533 ",535 
2019-11-06,-668 ,"2,369 ","-2,136 "
2019-11-05,"-2,112 ","3,216 ","-1,335 "
2019-11-04,"-5,126 ",682 ,"4,644 "
2019-11-01,-594 ,"1,378 ","-1,184 "
2019-10-31,"-1,498 ",347 ,594 
2019-10-30,"1,544 ",101 ,"-2,249 "
2019-10-29,-168 ,-996 ,735 
2019-10-28,"-1,255 ",-560 ,"1,359 "
2019-10-25,"-1,072 ",570 ,415 
2019-10-24,"-1,587 ","1,741 ",-560 
2019-10-23,303 ,"1,168 ","-1,503 "
2019-10-22,"-5,292 ",861 ,"4,335 "
2019-10-21,446 ,"-1,208 ",542 
2019-10-18,"2,292 ","-1,302 ","-1,000 "
2019-10-17,-96 ,-945 ,843 
2019-10-16,"-1,774 ",46 ,"1,447 "
2019-10-15,272 ,-602 ,109 
2019-10-14,"-2,612 ",221 ,"2,219 "
2019-10-11,"-1,562 ","1,093 ",438 
2019-10-10,"2,281 ","-1,376 ",-954 
2019-10-08,"-2,551 ",-461 ,"3,035 "
2019-10-07,-423 ,-229 ,440 
2019-10-04,"1,001 ","-1,490 ",243 
2019-10-02,"5,022 ","-1,124 ","-3,809 "
2019-10-01,"-1,585 ","-1,426 ","2,951 "
2019-09-30,-981 ,-5 ,812 
2019-09-27,"1,995 ",-249 ,"-1,755 "
2019-09-26,518 ,"3,160 ","-3,848 "
2019-09-25,"2,226 ","-3,661 ","1,291 "
2019-09-24,"-1,620 ","-2,162 ","3,780 "
2019-09-23,-223 ,-689 ,839 
2019-09-20,"-2,147 ",445 ,"1,816 "
2019-09-19,"-1,011 ","2,181 ",-993 
2019-09-18,"-1,616 ",559 ,"1,074 "
2019-09-17,-313 ,-805 ,962 
2019-09-16,-457 ,"-1,602 ","1,982 "
2019-09-11,"-3,344 ","-2,837 ","6,135 "
2019-09-10,"-1,919 ",146 ,"1,713 "
2019-09-09,"-1,730 ","2,335 ",-747 
2019-09-06,-338 ,483 ,-199 
2019-09-05,"-2,844 ","1,880 ",929 
2019-09-04,"-1,496 ","-3,502 ","4,830 "
2019-09-03,404 ,"-3,051 ","2,491 "
2019-09-02,-196 ,"-1,242 ","1,322 "
2019-08-30,"-3,982 ","2,243 ","1,652 "
2019-08-29,524 ,"-1,129 ",455 
2019-08-28,-749 ,-521 ,"1,062 "
2019-08-27,-309 ,"-1,181 ","1,313 "
2019-08-26,534 ,"-1,175 ",709 
2019-08-23,-912 ,75 ,664 
2019-08-22,"1,619 ","-1,229 ",-512 
2019-08-21,"1,005 ","-1,274 ",48 
2019-08-20,-600 ,"1,130 ",-723 
2019-08-19,-573 ,"-1,392 ","1,869 "
2019-08-16,549 ,-937 ,153 
2019-08-14,520 ,-501 ,-243 
2019-08-13,"1,558 ","-1,765 ",-24 
2019-08-12,"1,841 ",-24 ,"-1,854 "
2019-08-09,"2,152 ",-43 ,"-2,292 "
2019-08-08,"2,390 ","-1,017 ","-1,417 "
2019-08-07,"1,769 ",-980 ,-990 
2019-08-06,"-4,439 ","-6,056 ","10,337 "
2019-08-05,"-4,437 ","-3,169 ","7,355 "
2019-08-02,143 ,"-3,979 ","3,626 "
2019-08-01,-873 ,-51 ,836 
2019-07-31,-774 ,-496 ,"1,209 "
2019-07-30,"-1,469 ","1,410 ",39 
2019-07-29,-767 ,-625 ,"1,350 "
2019-07-26,-221 ,"1,184 ","-1,032 "
2019-07-25,457 ,"1,124 ","-1,536 "
2019-07-24,533 ,585 ,"-1,140 "
2019-07-23,"-2,833 ","2,857 ",37 
2019-07-22,-647 ,"2,335 ","-1,686 "
2019-07-19,"-4,632 ","1,306 ","3,381 "
2019-07-18,"1,002 ",708 ,"-1,729 "
2019-07-17,587 ,233 ,-745 
2019-07-16,"-2,157 ","2,512 ",-315 
2019-07-15,-494 ,143 ,253 
2019-07-12,168 ,-59 ,-64 
2019-07-11,"-1,993 ","3,649 ","-1,782 "
2019-07-10,-13 ,"2,033 ","-1,882 "
2019-07-09,826 ,240 ,"-1,149 "
2019-07-08,499 ,18 ,-498 
2019-07-05,"-1,050 ",-250 ,"1,263 "
2019-07-04,-238 ,401 ,-93 
2019-07-03,"1,562 ",-860 ,-675 
2019-07-02,240 ,343 ,-515 
2019-07-01,-191 ,"1,545 ",61 
2019-06-28,"-1,995 ","3,123 ","-1,097 "
2019-06-27,"-4,058 ","1,559 ","2,671 "
2019-06-26,-736 ,165 ,610 
2019-06-25,-211 ,0 ,88 
2019-06-24,-728 ,-992 ,"1,637 "
2019-06-21,"1,187 ",133 ,"-1,309 "
2019-06-20,"-1,485 ",-183 ,"1,645 "
2019-06-19,"-4,605 ","3,004 ","1,693 "
2019-06-18,"-1,295 ","2,618 ",869 
2019-06-17,78 ,"-1,501 ","1,404 "
2019-06-14,"1,577 ",-694 ,-922 
2019-06-13,"1,317 ","-1,657 ",515 
2019-06-12,-963 ,-23 ,"1,016 "
2019-06-11,"-2,665 ",692 ,"2,035 "
2019-06-10,"-3,384 ","1,819 ","1,673 "
2019-06-07,-401 ,-333 ,658 
2019-06-05,567 ,"-1,559 ",985 
2019-06-04,32 ,"-2,002 ","1,935 "
2019-06-03,"-1,933 ","2,914 ",-986 
2019-05-31,-613 ,"2,062 ","-1,460 "
2019-05-30,-720 ,484 ,217 
2019-05-29,"1,932 ","-3,815 ","1,927 "
2019-05-28,"1,199 ","-7,191 ","6,227 "
2019-05-27,229 ,"-1,940 ","1,711 "
2019-05-24,-13 ,"-3,102 ","3,069 "
2019-05-23,150 ,809 ,-962 
2019-05-22,728 ,53 ,-925 
2019-05-21,-95 ,744 ,-730 
2019-05-20,370 ,-178 ,96 
2019-05-17,"1,825 ","-1,994 ",42 
2019-05-16,"4,114 ","-4,679 ",367 
2019-05-15,"1,082 ",-776 ,-484 
2019-05-14,-603 ,"-2,851 ","3,368 "
2019-05-13,"2,581 ","-1,373 ","-1,314 "
2019-05-10,"2,969 ","-3,223 ",13 
2019-05-09,"8,157 ","-2,015 ","-6,465 "
2019-05-08,493 ,90 ,-631 
2019-05-07,"2,823 ","2,026 ","-4,787 "
2019-05-03,"2,417 ","1,521 ","-4,075 "
2019-05-02,"-1,025 ",681 ,170 
2019-04-30,119 ,429 ,-573 
2019-04-29,"-2,833 ",30 ,"2,785 "
2019-04-26,"1,401 ",355 ,"-1,844 "
2019-04-25,629 ,-165 ,-446 
2019-04-24,"4,030 ",230 ,"-4,214 "
2019-04-23,180 ,407 ,-708 
2019-04-22,702 ,-186 ,-503 
2019-04-19,178 ,-567 ,351 
2019-04-18,"2,959 ","-1,320 ","-1,290 "
2019-04-17,-589 ,756 ,14 
2019-04-16,-949 ,"1,527 ",-539 
2019-04-15,466 ,"1,781 ","-2,189 "
2019-04-12,"-1,657 ","2,446 ",-558 
2019-04-11,"-1,512 ","3,208 ","-1,606 "
2019-04-10,"-2,280 ",-33 ,"2,335 "
2019-04-09,"-1,740 ","2,090 ",-332 
2019-04-08,"-1,181 ","2,731 ","-1,566 "
2019-04-05,"-1,544 ",996 ,616 
2019-04-04,"-3,797 ","2,449 ","1,378 "
2019-04-03,"-4,644 ","1,431 ","2,008 "
2019-04-02,"-1,036 ","2,734 ","-1,506 "
2019-04-01,"-4,381 ","2,491 ","1,846 "
2019-03-29,"-1,560 ",890 ,597 
2019-03-28,837 ,-139 ,-832 
2019-03-27,192 ,"-1,561 ","1,202 "
2019-03-26,"1,557 ",374 ,"-1,915 "
2019-03-25,"2,692 ",-709 ,"-2,191 "
2019-03-22,471 ,"5,013 ","-5,618 "
2019-03-21,"-3,264 ","4,841 ","-1,515 "
2019-03-20,856 ,"-1,237 ",387 
2019-03-19,369 ,-124 ,-158 
2019-03-18,"-1,868 ",-488 ,"2,287 "
2019-03-15,"-4,963 ","-1,342 ","6,284 "
2019-03-14,"1,416 ","2,867 ","-4,344 "
2019-03-13,957 ,"1,001 ","-2,031 "
2019-03-12,-225 ,-23 ,824 
2019-03-11,894 ,"-1,793 ",166 
2019-03-08,"2,932 ","-1,739 ","-1,274 "
2019-03-07,"1,108 ",4 ,"-1,130 "
2019-03-06,654 ,60 ,-532 
2019-03-05,"2,444 ","-1,570 ",-919 
2019-03-04,403 ,"-1,320 ",767 
2019-02-28,-618 ,"-2,536 ","3,169 "
2019-02-27,"-1,116 ",-573 ,"1,519 "
2019-02-26,-299 ,526 ,-111 
2019-02-25,91 ,-796 ,803 
2019-02-22,-342 ,-45 ,401 
2019-02-21,-117 ,"2,084 ","-2,048 "
2019-02-20,"-4,300 ","4,345 ",-76 
2019-02-19,"-1,388 ",-76 ,"1,419 "
2019-02-18,"-3,241 ",456 ,"2,664 "
2019-02-15,"1,985 ","-1,777 ",-449 
2019-02-14,"-1,926 ",-476 ,"2,427 "
2019-02-13,"-1,261 ",-306 ,"1,343 "
2019-02-12,-147 ,-375 ,469 
2019-02-11,"1,156 ",-573 ,-733 
2019-02-08,"3,313 ","-2,803 ",-725 
2019-02-07,695 ,"1,607 ","-2,510 "
2019-02-01,-749 ,"2,668 ","-2,145 "
2019-01-31,"-1,146 ","2,832 ","-1,744 "
2019-01-30,"-3,273 ","3,099 ",157 
2019-01-29,201 ,"1,910 ","-2,079 "
2019-01-28,-422 ,"3,573 ","-3,051 "
2019-01-25,"-8,834 ","8,166 ",876 
2019-01-24,"-1,752 ","4,959 ","-3,187 "
2019-01-23,"-3,473 ","-1,006 ","4,458 "
2019-01-22,-186 ,"1,343 ","-1,242 "
2019-01-21,"-1,396 ",647 ,532 
2019-01-18,"-2,100 ","1,119 ",996 
2019-01-17,-132 ,"2,343 ","-2,116 "
2019-01-16,-867 ,995 ,-205 
2019-01-15,"-4,110 ","1,228 ","2,880 "
2019-01-14,758 ,948 ,"-1,792 "
2019-01-11,"-1,277 ","1,771 ",-804 
2019-01-10,-92 ,"2,732 ","-2,619 "
2019-01-09,"-5,146 ","3,846 ","1,394 "
2019-01-08,334 ,-257 ,-87 
2019-01-07,"-2,046 ",559 ,"1,646 "
2019-01-04,"-1,044 ","-1,233 ","2,264 "
2019-01-03,617 ,"1,023 ","-1,684 "
2019-01-02,"3,093 ",-262 ,"-3,024 "
2018-12-28,-343 ,"2,025 ","-1,634 "
2018-12-27,"3,005 ","2,420 ","-5,459 "
2018-12-26,"-4,710 ",572 ,"3,791 "
2018-12-24,"-2,675 ",67 ,"2,491 "
2018-12-21,"-2,544 ","-2,253 ","4,960 "
2018-12-20,-92 ,-418 ,633 
2018-12-19,"-2,550 ",89 ,"2,552 "
2018-12-18,"-1,551 ","-1,709 ","3,139 "
2018-12-17,"-2,582 ",653 ,"2,039 "
2018-12-14,"1,829 ",-906 ,"-1,221 "
2018-12-13,"-1,716 ","4,818 ","-3,120 "
2018-12-12,"-2,680 ",-429 ,"3,086 "
2018-12-11,619 ,"-1,764 ","1,048 "
2018-12-10,"1,340 ","-2,716 ","1,171 "
2018-12-07,116 ,285 ,-582 
2018-12-06,"3,485 ","-3,821 ",214 
2018-12-05,"1,051 ","-1,967 ",925 
2018-12-04,"2,198 ","1,234 ","-3,609 "
2018-12-03,"-4,541 ","3,227 ","1,328 "
2018-11-30,"1,293 ",-366 ,293 
2018-11-29,"-2,716 ","3,253 ",-553 
2018-11-28,"-1,542 ",932 ,281 
2018-11-27,"-2,168 ","1,954 ",194 
2018-11-26,"-4,217 ",-372 ,"4,506 "
2018-11-23,967 ,372 ,"-1,427 "
2018-11-22,"1,422 ",-434 ,"-1,004 "
2018-11-21,716 ,"-3,908 ","3,272 "
2018-11-20,298 ,"-2,558 ",897 
2018-11-19,-584 ,-926 ,"1,594 "
2018-11-16,192 ,-206 ,92 
2018-11-15,"-1,011 ","-1,700 ","2,721 "
2018-11-14,699 ,"-1,324 ",189 
2018-11-13,241 ,"-3,030 ","2,755 "
2018-11-12,"-1,158 ",385 ,679 
2018-11-09,"2,288 ",477 ,"-3,097 "
2018-11-08,"-2,749 ","4,902 ","-2,285 "
2018-11-07,969 ,-638 ,-603 
2018-11-06,"1,718 ",30 ,"-1,876 "
2018-11-05,"5,175 ",-638 ,"-4,728 "
2018-11-02,"-4,638 ","4,408 ",126 
2018-11-01,"1,088 ","2,923 ","-4,205 "
2018-10-31,"2,585 ","1,355 ","-4,123 "
2018-10-30,"-3,582 ","-1,862 ","5,199 "
2018-10-29,"-4,880 ","-1,593 ","6,364 "
2018-10-26,573 ,"-1,752 ","1,040 "
2018-10-25,"-2,814 ","-3,631 ","6,311 "
2018-10-24,"-2,612 ","-3,309 ","5,809 "
2018-10-23,"6,413 ","-5,624 ",-992 
2018-10-22,648 ,"-1,111 ",450 
2018-10-19,-169 ,"-1,715 ","1,879 "
2018-10-18,"2,641 ",-537 ,"-2,166 "
2018-10-17,-51 ,64 ,27 
2018-10-16,"1,695 ",-664 ,"-1,271 "
2018-10-15,"2,990 ",224 ,"-3,271 "
2018-10-12,"-1,006 ",735 ,-59 
2018-10-11,"2,165 ","-4,836 ","2,439 "
2018-10-10,"1,008 ","-2,297 ","1,156 "
2018-10-08,"1,330 ","-1,782 ",318 
2018-10-05,"2,024 ","-3,307 ","1,116 "
2018-10-04,"5,811 ","-5,294 ",-602 
2018-10-02,"3,089 ","-2,411 ",-849 
2018-10-01,"1,242 ",-541 ,-877 
2018-09-28,"1,305 ","-2,249 ",648 
2018-09-27,"-1,362 ","2,283 ","-1,298 "
2018-09-21,"-2,021 ","8,233 ",-772 
2018-09-20,"-4,134 ","2,929 ",998 
2018-09-19,"-1,095 ","3,865 ",137 
2018-09-18,-475 ,-828 ,996 
2018-09-17,690 ,"1,755 ","-2,741 "
2018-09-14,"-4,833 ","2,036 ","2,713 "
2018-09-13,388 ,"-2,690 ","1,987 "
2018-09-12,"1,840 ","-4,152 ","1,988 "
2018-09-11,"1,923 ","-1,891 ",-430 
2018-09-10,-412 ,"1,211 ","-1,239 "
2018-09-07,"2,196 ","-7,719 ","5,057 "
2018-09-06,"1,148 ","-2,933 ","1,134 "
2018-09-05,"2,473 ",-971 ,"-1,967 "
2018-09-04,-340 ,219 ,-133 
2018-09-03,"2,376 ","-2,173 ",-727 
2018-08-31,"-1,687 ","3,967 ","-2,643 "
2018-08-30,660 ,"2,223 ","-3,215 "
2018-08-29,"-2,217 ","1,146 ","4,282 "
2018-08-28,"-1,647 ","1,426 ",-449 
2018-08-27,"-2,427 ","2,373 ",-432 
2018-08-24,"-1,995 ",770 ,582 
2018-08-23,-448 ,"1,751 ","-1,932 "
2018-08-22,"1,368 ","2,082 ","-4,206 "
2018-08-21,"-1,512 ","1,064 ",-171 
2018-08-20,-98 ,-549 ,87 
2018-08-17,859 ,"1,020 ","-2,534 "
2018-08-16,"1,783 ","-2,417 ",-70 
2018-08-14,"-1,321 ",-121 ,918 
2018-08-13,"1,029 ","-1,738 ",151 
2018-08-10,"1,519 ","-1,147 ",-857 
2018-08-09,140 ,"-2,243 ","1,427 "
2018-08-08,"-1,248 ","3,585 ","-1,157 "
2018-08-07,-62 ,577 ,"-1,097 "
2018-08-06,179 ,41 ,-671 
2018-08-03,-886 ,"1,433 ",-804 
2018-08-02,"3,740 ",-490 ,"-3,751 "
2018-08-01,-651 ,"1,725 ","-1,416 "
2018-07-31,-317 ,-749 ,798 
2018-07-30,32 ,"1,622 ","-2,002 "
2018-07-27,-845 ,"1,626 ",-799 
2018-07-26,"-1,706 ","1,276 ",404 
2018-07-25,"-1,283 ","-1,486 ","2,784 "
2018-07-24,"-3,043 ",631 ,"2,397 "
2018-07-23,"-1,418 ",-325 ,"2,330 "
2018-07-20,526 ,"-1,212 ",650 
2018-07-19,-321 ,525 ,-188 
2018-07-18,"1,637 ",925 ,"-2,639 "
2018-07-17,"1,342 ",-888 ,522 
2018-07-16,"2,883 ",-452 ,"-2,657 "
2018-07-13,"-1,374 ","2,239 ",-941 
2018-07-12,880 ,-180 ,-858 
2018-07-11,"1,351 ","2,018 ","-1,251 "
2018-07-10,193 ,329 ,"-1,158 "
2018-07-09,-752 ,-594 ,"1,222 "
2018-07-06,"-1,030 ","-3,820 ","4,589 "
2018-07-05,319 ,-947 ,455 
2018-07-04,"1,292 ",10 ,"-1,536 "
2018-07-03,-467 ,"2,018 ","-1,795 "
2018-07-02,"2,427 ","1,156 ","-4,010 "
2018-06-29,-553 ,"1,652 ","-1,398 "
2018-06-28,"1,130 ","-2,889 ","1,408 "
2018-06-27,802 ,"1,587 ","-2,660 "
2018-06-26,"1,169 ","-3,237 ","2,678 "
2018-06-25,87 ,"-1,100 ","1,002 "
2018-06-22,-88 ,60 ,-247 
2018-06-21,"4,107 ","-1,282 ","-3,037 "
2018-06-20,"-1,179 ","1,136 ",-175 
2018-06-19,"1,406 ","-2,151 ",318 
2018-06-18,"-1,124 ","-3,206 ","4,293 "
2018-06-15,"2,670 ","-5,500 ","2,759 "
2018-06-14,"5,021 ","-4,703 ",-537 
2018-06-12,-93 ,"-1,223 ","1,258 "
2018-06-11,"-2,575 ",-106 ,"2,816 "
2018-06-08,"5,015 ","1,304 ","-6,616 "
2018-06-07,"-3,160 ","1,379 ","1,722 "
2018-06-05,920 ,-86 ,-950 
2018-06-04,-912 ,177 ,548 
2018-06-01,"-1,315 ","2,389 ","-1,234 "
2018-05-31,"2,412 ","9,507 ","-12,383 "
2018-05-30,"10,151 ","-6,857 ","-4,069 "
2018-05-29,"3,115 ","-2,294 ","-1,205 "
2018-05-28,"2,649 ","-1,618 ","-1,385 "
2018-05-25,"-4,810 ","3,310 ","1,206 "
2018-05-24,851 ,328 ,"-2,057 "
2018-05-23,-712 ,"2,738 ","-2,622 "
2018-05-21,69 ,-761 ,332 
2018-05-18,"-1,541 ",-387 ,"1,513 "
2018-05-17,"1,455 ","-2,696 ","1,057 "
2018-05-16,"-1,750 ",112 ,"2,486 "
2018-05-15,"3,949 ","-2,382 ","-1,969 "
2018-05-14,"-1,011 ",-947 ,"1,692 "
2018-05-11,"-4,180 ","1,990 ","1,856 "
2018-05-10,-730 ,-409 ,806 
2018-05-09,-414 ,"-2,303 ","2,409 "
2018-05-08,"1,015 ",-334 ,"-1,252 "
2018-05-04,"7,640 ",-224 ,"-7,256 "
2018-05-03,"2,597 ","-3,239 ",188 
2018-05-02,"2,791 ","-1,632 ","-1,203 "
2018-04-30,"-1,892 ","2,432 ",-112 
2018-04-27,"2,576 ","1,611 ","-4,116 "
2018-04-26,14 ,"1,710 ","-1,654 "
2018-04-25,"6,137 ","-7,620 ",70 
2018-04-24,"2,707 ","-4,388 ","1,684 "
2018-04-23,"3,143 ","-2,946 ",92 
2018-04-20,"3,422 ","-4,884 ","1,612 "
2018-04-19,646 ,"1,814 ","-2,406 "
2018-04-18,"-3,882 ","3,439 ",525 
2018-04-17,"2,220 ","-2,760 ",487 
2018-04-16,658 ,-366 ,-108 
2018-04-13,-36 ,543 ,-470 
2018-04-12,-731 ,"2,346 ","-1,518 "
2018-04-11,"1,981 ","4,640 ",-980 
2018-04-10,327 ,"-1,207 ","1,108 "
2018-04-09,-558 ,-565 ,"1,140 "
2018-04-06,"2,289 ","-2,392 ",194 
2018-04-05,"-2,736 ","1,475 ","1,203 "
2018-04-04,"5,286 ","-1,989 ","-3,490 "
2018-04-03,"1,289 ","-1,064 ",-165 
2018-04-02,738 ,-269 ,-216 
2018-03-30,"-1,153 ","-1,717 ","2,966 "
2018-03-29,"5,778 ","-2,704 ",339 
2018-03-28,"2,766 ","-2,464 ",-331 
2018-03-27,-898 ,144 ,762 
2018-03-26,520 ,"-1,010 ",465 
2018-03-23,"7,518 ","-1,317 ","-6,438 "
2018-03-22,"-2,987 ","2,081 ",821 
2018-03-21,-637 ,-657 ,"1,300 "
2018-03-20,63 ,"-1,235 ","1,047 "
2018-03-19,"1,483 ",-833 ,-531 
2018-03-16,12 ,"1,638 ",-596 
2018-03-15,194 ,-421 ,296 
2018-03-14,"2,841 ","-1,295 ","-1,429 "
2018-03-13,"-3,103 ","5,818 ","-2,650 "
2018-03-12,"-2,917 ","1,938 ","1,009 "
2018-03-09,"-4,900 ","1,989 ","2,916 "
2018-03-08,"-4,264 ","-1,742 ","5,949 "
2018-03-07,"3,585 ","-2,595 ","-1,036 "
2018-03-06,"-1,713 ",131 ,"1,608 "
2018-03-05,"3,204 ",-889 ,"-2,135 "
2018-03-02,"5,344 ","-2,327 ","-2,732 "
2018-02-28,"1,075 ","1,437 ","-2,646 "
2018-02-27,"-1,895 ",44 ,"2,045 "
2018-02-26,"-1,373 ","-1,824 ","3,518 "
2018-02-23,"-5,230 ","1,556 ","3,767 "
2018-02-22,"1,996 ",-977 ,"-1,074 "
2018-02-21,74 ,"-1,016 ","1,144 "
2018-02-20,"2,550 ",290 ,"-2,978 "
2018-02-19,-730 ,263 ,346 
2018-02-14,"-2,054 ","1,035 ","1,110 "
2018-02-13,"-1,661 ","3,297 ","-1,859 "
2018-02-12,971 ,-790 ,-175 
2018-02-09,"2,761 ","-3,152 ",203 
2018-02-08,"2,437 ",908 ,"-3,483 "
2018-02-07,"9,264 ","-1,914 ","-7,395 "
2018-02-06,"1,565 ","-2,810 ","1,079 "
2018-02-05,"4,955 ","-4,554 ",-419 
2018-02-02,"7,374 ","-4,640 ","-2,810 "
2018-02-01,"2,170 ","-2,722 ",293 
2018-01-31,"7,941 ","-6,642 ","-1,844 "
2018-01-30,"2,534 ","-1,223 ","-1,433 "
2018-01-29,"-7,116 ","3,226 ","3,614 "
2018-01-26,"-3,853 ","1,808 ","1,168 "
2018-01-25,"-7,154 ","3,754 ","2,999 "
2018-01-24,"-2,813 ",-160 ,"2,443 "
2018-01-23,"-5,925 ","2,160 ","3,405 "
2018-01-22,"2,471 ","-1,762 ",-735 
2018-01-19,-91 ,-814 ,414 
2018-01-18,915 ,949 ,"-2,234 "
2018-01-17,"1,733 ",680 ,"-2,883 "
2018-01-16,"-2,777 ","2,768 ",-249 
2018-01-15,-698 ,244 ,145 
2018-01-12,-871 ,"-1,176 ","1,644 "
2018-01-11,"3,170 ","1,756 ","-5,447 "
2018-01-10,"1,302 ","-2,789 ",993 
2018-01-09,"-2,606 ",438 ,"2,122 "
2018-01-08,"-3,512 ","3,908 ",-873 
2018-01-05,"-3,705 ","2,457 ","1,022 "
2018-01-04,442 ,"3,359 ","-3,845 "
2018-01-03,-242 ,"3,992 ","-3,980 "
2018-01-02,-267 ,"2,634 ","-2,762 "
2017-12-28,"-2,129 ","1,798 ",307 
2017-12-27,"4,659 ","-1,093 ","-3,753 "
2017-12-26,"-8,944 ",158 ,"8,725 "
2017-12-22,"-8,491 ","1,313 ","3,882 "
2017-12-21,-84 ,"-3,275 ","3,112 "
2017-12-20,"-3,681 ","-3,075 ","6,175 "
2017-12-19,"-3,572 ",639 ,"2,846 "
2017-12-18,"-1,294 ","-1,676 ","2,653 "
2017-12-15,"-2,570 ","-2,021 ","4,217 "
2017-12-14,"-3,781 ","3,850 ",-148 
2017-12-13,"-5,119 ","-2,055 ","6,948 "
2017-12-12,"1,475 ","-2,445 ",623 
2017-12-11,-916 ,"-1,660 ","2,306 "
2017-12-08,388 ,"-1,042 ",401 
2017-12-07,-448 ,"-3,384 ","4,915 "
2017-12-06,"2,515 ","-3,383 ",371 
2017-12-05,"-3,475 ",318 ,"2,932 "
2017-12-04,"-2,582 ","1,472 ",882 
2017-12-01,"1,405 ","-1,939 ",898 
2017-11-30,"1,933 ","-6,000 ","3,705 "
2017-11-29,-806 ,"-1,621 ","2,025 "
2017-11-28,"-3,766 ","-1,639 ","2,037 "
2017-11-27,"4,534 ","-4,536 ",-470 
