,날짜,외국인순매수,전월대비 등락률
140,2016 09,10816,0.0044135258452303
141,2016 10,3986,-0.0173417220298616
142,2016 11,-3556,-0.0123045935187767
143,2016 12,10106,0.0216689761893097
144,2017 01,16395,0.0202866615745303
145,2017 02,3137,0.0116416002471197
146,2017 03,28470,0.0327924936476908
147,2017 04,1105,0.020928309182937
148,2017 05,13217,0.064359014608099
149,2017 06,16701,0.0189190324817771
150,2017 07,-5325,0.0045655854806052
151,2017 08,-13019,-0.016448102423411
152,2017 09,-16122,0.0132363585121987
153,2017 10,13282,0.0538574141732216
154,2017 11,6324,-0.0186491464902806
155,2017 12,-17500,-0.0035859449649677
156,2018 01,26209,0.0401095733295049
157,2018 02,-15569,-0.0541991130322615
158,2018 03,-13285,0.0076173247545101
159,2018 04,-2820,0.0284276559805841
160,2018 05,-10748,-0.0367220369686642
161,2018 06,-15799,-0.0399833787572739
162,2018 07,3722,-0.0132709154699266
163,2018 08,16478,0.0120334397538235
164,2018 09,-3589,0.0086918767071283
165,2018 10,-39888,-0.1337476549186404
166,2018 11,3536,0.0330938064210373
167,2018 12,-593,-0.0266207879876196
168,2019 01,32169,0.0802581308836018
169,2019 02,1350,-0.0042679347044966
170,2019 03,3005,-0.0249471727731108
171,2019 04,23820,0.0293927454077149
172,2019 05,-17476,-0.0734483688893246
173,2019 06,7083,0.0435315600312664
174,2019 07,20336,-0.0497836604018324
175,2019 08,-16919,-0.0280358639681343
176,2019 09,-8616,0.0484096412089823
177,2019 10,-5571,0.0099027804256274
178,2019 11,-23179,0.002150239268314
179,2019 12,6002,0.0525440923149886
180,2020 01,3199,-0.0357924141957879
181,2020 02,-2507,-0.0622932404243809
182,2020 03,-31787,-0.1169445518518532
183,2020 04,-28972,0.1099485035874816
184,2020 05,-29413,0.0421244606194198
185,2020 06,-11992,0.0387909457460125
186,2020 07,-2613,0.0668965645018597
187,2020 08,-11994,0.0341428047348324
188,2020 09,-8628,0.0007394002849708
189,2020 10,-1643,-0.0260922951845913
190,2020 11,29375,0.1429945965247959
191,2020 12,-3165,0.1088741242922523
192,2021 01,1343,0.0357546768478095
193,2021 02,-7847,0.0123445559004855
194,2021 03,-14133,0.016087214022348
195,2021 04,6872,0.0282353247031638
196,2021 05,-17386,0.0178088646064511
197,2021 06,1814,0.0289520375126416
198,2021 07,-30272,-0.0286226947225328
199,2021 08,-21081,-0.000952449712401
200,2021 09,5979,-0.0407749112689738
201,2021 10,-16287,-0.0319797624274585
202,2021 11,11342,-0.0443231599852234
203,2021 12,15250,0.0488338864960784
204,2022 01,-389,-0.1055563362924994
205,2022 02,-6207,0.0134567282311983
206,2022 03,-23373,0.0216621241206345
207,2022 04,-19037,-0.02270048773412141
