,date,동행지수,선행지수,label
226,2020-11-01,99.4,100.0,0
227,2020-12-01,99.4,100.2,0
228,2021-01-01,99.2,100.5,0
229,2021-02-01,99.2,100.7,0
230,2021-03-01,99.7,100.9,0
231,2021-04-01,100.4,101.3,1
232,2021-05-01,100.5,101.6,1
233,2021-06-01,100.6,101.8,1
234,2021-07-01,100.7,101.6,1
235,2021-08-01,100.9,101.4,1
236,2021-09-01,100.8,101.1,1
237,2021-10-01,100.9,100.7,1
238,2021-11-01,101.1,100.4,1
239,2021-12-01,101.8,100.2,1
240,2022-01-01,102.4,100.1,1
241,2022-02-01,102.6,99.8,1
